  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:29:15  03/05/2024 jbnv     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1000      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   7.5837111E-01  -9.7679682E-02  -8.4790068E+00   1.8567331E+00
   7.6170361E-01   3.8492318E-02  -8.6620846E+00   1.8555089E+00
   7.6495230E-01   5.8614407E-02  -8.8999720E+00   1.8545568E+00
   7.6822090E-01  -9.2062831E-02  -9.0123034E+00   1.8528347E+00
   7.7144277E-01  -4.2815994E-02  -9.0697489E+00   1.8511379E+00
   7.7533972E-01  -2.0533092E-02  -9.0359793E+00   1.8499668E+00
   7.7867281E-01  -3.5384160E-02  -9.1560516E+00   1.8501005E+00
   7.8192735E-01  -2.5603486E-02  -9.2286882E+00   1.8484828E+00
   7.8516006E-01  -3.9351363E-02  -9.2554321E+00   1.8470771E+00
   7.8847235E-01   1.2442473E-03  -9.3785057E+00   1.8467728E+00
   7.9162151E-01  -3.1403843E-02  -9.3186302E+00   1.8455954E+00
   7.9486597E-01  -4.7125001E-02  -9.4612150E+00   1.8444767E+00
   7.9813445E-01  -2.1366151E-02  -9.4805889E+00   1.8433422E+00
   8.0202979E-01  -1.3362227E-02  -9.5075111E+00   1.8412507E+00
   8.0527204E-01  -2.3413561E-02  -9.6276436E+00   1.8398075E+00
   8.0847120E-01   1.0834383E-02  -9.6588202E+00   1.8389924E+00
   8.1153893E-01  -1.3910026E-02  -9.5710239E+00   1.8386015E+00
   8.1475574E-01  -9.6636731E-03  -9.6938763E+00   1.8379591E+00
   8.1871760E-01  -4.7619250E-03  -9.7882776E+00   1.8364100E+00
   8.2175916E-01  -1.8315950E-02  -9.6411972E+00   1.8346815E+00
   8.2494366E-01  -2.1581808E-02  -9.7608385E+00   1.8334696E+00
   8.2810152E-01  -1.4239626E-02  -9.7901993E+00   1.8331491E+00
   8.3184570E-01   2.0675365E-02  -9.6835194E+00   1.8327829E+00
   8.3494222E-01  -4.9767061E-03  -9.7405272E+00   1.8316358E+00
   8.3883554E-01  -7.8863641E-03  -9.7881060E+00   1.8304783E+00
   8.4183377E-01  -1.1557382E-02  -9.8032885E+00   1.8292710E+00
   8.4483790E-01   2.9267182E-03  -9.7361240E+00   1.8292438E+00
   8.4868228E-01  -3.9994318E-02  -9.7528458E+00   1.8284063E+00
   8.5170710E-01  -2.8146420E-02  -9.7492418E+00   1.8269504E+00
   8.5539812E-01  -7.8343172E-03  -9.6793423E+00   1.8237907E+00
   8.5839742E-01  -1.4514983E-02  -9.7223740E+00   1.8223679E+00
   8.6213917E-01  -2.2936277E-03  -9.6915846E+00   1.8223522E+00
   8.6508411E-01  -2.7549719E-02  -9.6598930E+00   1.8214688E+00
   8.6876029E-01  -2.8487325E-02  -9.5727739E+00   1.8180010E+00
   8.7172043E-01   1.2479239E-02  -9.5873327E+00   1.8170881E+00
   8.7541080E-01  -3.4407366E-02  -9.5819731E+00   1.8164247E+00
   8.7833351E-01  -7.4133664E-02  -9.5366020E+00   1.8158287E+00
   8.8195884E-01  -8.1735644E-03  -9.4601316E+00   1.8152165E+00
   8.8558179E-01  -8.9754527E-03  -9.4807959E+00   1.8136393E+00
   8.8850355E-01   4.5204004E-03  -9.4906950E+00   1.8119097E+00
   8.9218271E-01  -4.2604614E-02  -9.4050598E+00   1.8099164E+00
   8.9509153E-01   4.3911606E-02  -9.3357573E+00   1.8093914E+00
   8.9867681E-01  -6.2453467E-03  -9.2884932E+00   1.8091890E+00
   9.0163827E-01   5.4375883E-03  -9.3100033E+00   1.8088763E+00
   9.0534854E-01   6.4801011E-04  -9.2315588E+00   1.8067193E+00
   9.0896946E-01   1.2271105E-02  -9.1850128E+00   1.8031012E+00
   9.1180164E-01   4.9089462E-02  -9.1518574E+00   1.8019809E+00
   9.1535163E-01  -1.0864997E-02  -9.0632648E+00   1.8017036E+00
   9.1898704E-01   4.8477645E-03  -9.0034847E+00   1.8012323E+00
   9.2193627E-01   3.6425851E-03  -9.0062389E+00   1.7993840E+00
   9.2556548E-01  -4.2832244E-02  -8.9560642E+00   1.7963485E+00
   9.2839777E-01   3.8228791E-02  -8.8429909E+00   1.7953477E+00
   9.3196219E-01   2.3982363E-02  -8.7850809E+00   1.7946726E+00
   9.3555647E-01  -7.0211329E-03  -8.7786303E+00   1.7938502E+00
   9.3843442E-01  -5.2329451E-03  -8.7271814E+00   1.7930297E+00
   9.4210440E-01  -7.1014772E-05  -8.6367931E+00   1.7908276E+00
   9.4504261E-01  -3.3178511E-03  -8.6077909E+00   1.7909515E+00
   9.4865674E-01   3.1789041E-03  -8.5820637E+00   1.7909755E+00
   9.5217705E-01  -8.8699243E-04  -8.4749298E+00   1.7894167E+00
   9.5572644E-01   5.4418617E-03  -8.4171753E+00   1.7874615E+00
   9.5859385E-01  -1.0632104E-02  -8.3675432E+00   1.7865729E+00
   9.6220076E-01   1.4555455E-02  -8.4060326E+00   1.7866073E+00
   9.6578985E-01   4.0845620E-03  -8.2373505E+00   1.7860814E+00
   9.6865302E-01   5.7410467E-03  -8.2005005E+00   1.7849573E+00
   9.7221601E-01   3.9407914E-03  -8.1390886E+00   1.7838681E+00
   9.7576356E-01   6.2913289E-03  -8.1357279E+00   1.7831436E+00
   9.7857982E-01   1.0037771E-02  -8.0311699E+00   1.7819103E+00
   9.8207718E-01   4.1709170E-03  -7.9676437E+00   1.7811657E+00
   9.8555845E-01   6.0867970E-03  -7.9255548E+00   1.7808925E+00
   9.8902792E-01   7.5703734E-03  -7.9232249E+00   1.7802167E+00
   9.9247485E-01   9.3269451E-03  -7.7802601E+00   1.7793581E+00
   9.9522305E-01   3.2032698E-02  -7.7263699E+00   1.7785506E+00
   9.9865675E-01   9.6042557E-03  -7.6973624E+00   1.7780832E+00
   1.0021285E+00   2.4649354E-03  -7.7141409E+00   1.7779976E+00
   1.0056617E+00   3.0809809E-03  -7.5249195E+00   1.7772338E+00
   1.0085325E+00   6.1044479E-03  -7.5348797E+00   1.7767109E+00
   1.0121607E+00   7.1798307E-03  -7.4656739E+00   1.7761430E+00
   1.0158132E+00   1.2729322E-02  -7.4350924E+00   1.7756615E+00
   1.0187408E+00   5.6934897E-03  -7.3926992E+00   1.7751598E+00
