  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   18:55:35  02/28/2024 tcgi     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      1.714E+00
   time              pfxob_1         pfyob_1         pfzob_1
   5.6742120E-01   1.6639175E-02  -1.4708028E+00   1.1545460E+00
   5.6836283E-01   9.4976835E-03  -1.4503409E+00   1.1547645E+00
   5.7062048E-01  -1.2588371E-02  -1.4973274E+00   1.1538044E+00
   5.7219553E-01   4.4498090E-02  -1.6495080E+00   1.1540132E+00
   5.7393205E-01  -4.6729529E-03  -1.6647803E+00   1.1534897E+00
   5.7584649E-01   3.3996414E-04  -1.6773794E+00   1.1602389E+00
   5.7775420E-01   1.0758255E-03  -1.8373204E+00   1.1570039E+00
   5.7867610E-01   1.5063704E-02  -1.8455331E+00   1.1556895E+00
   5.8066058E-01   1.7516946E-02  -1.9260873E+00   1.1511325E+00
   5.8284849E-01  -1.8363824E-02  -1.9892378E+00   1.1587267E+00
   5.8402514E-01  -9.1002891E-03  -2.0005672E+00   1.1567415E+00
   5.8593732E-01   2.3769220E-02  -2.0783916E+00   1.1536885E+00
   5.8737683E-01   1.5352429E-02  -2.1122124E+00   1.1534839E+00
   5.8981735E-01  -1.8933361E-02  -2.2969446E+00   1.1520239E+00
   5.9143627E-01  -3.0462494E-02  -2.2728863E+00   1.1528130E+00
   5.9322113E-01   1.3840503E-02  -2.2973740E+00   1.1522279E+00
   5.9418106E-01   6.4468989E-03  -2.3217738E+00   1.1517740E+00
