  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   10:58:26  02/29/2024 ntjb     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      977      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.0010415E+00  -2.6265495E-03   6.4369148E-01   1.8583248E+00
   1.0055187E+00  -3.2464755E-03   6.6505647E-01   1.8584291E+00
   1.0117216E+00  -2.3082637E-03   8.5150337E-01   1.8598137E+00
   1.0162876E+00  -2.5602104E-03   8.1754535E-01   1.8596525E+00
   1.0215732E+00  -2.1956018E-03   8.4631556E-01   1.8593431E+00
   1.0255522E+00  -3.0632245E-03   8.8765758E-01   1.8592365E+00
   1.0299389E+00  -3.7472893E-03   9.5564556E-01   1.8594329E+00
   1.0347754E+00  -3.4548177E-03   1.0257825E+00   1.8599626E+00
   1.0401075E+00  -3.5824676E-03   1.0878210E+00   1.8604643E+00
   1.0459862E+00  -3.6048745E-03   1.1481806E+00   1.8609176E+00
   1.0491477E+00  -3.6890612E-03   1.1727915E+00   1.8610249E+00
   1.0559531E+00  -4.1826637E-03   1.2784637E+00   1.8615410E+00
   1.0594726E+00  -3.7911646E-03   1.2900560E+00   1.8615359E+00
   1.0665509E+00  -3.6795007E-03   1.3214593E+00   1.8613485E+00
   1.0701097E+00  -4.3700617E-03   1.3834957E+00   1.8615148E+00
   1.0736825E+00  -3.9264639E-03   1.4009001E+00   1.8615623E+00
   1.0808718E+00  -3.9721169E-03   1.4669420E+00   1.8618127E+00
   1.0844895E+00  -3.9687036E-03   1.5128196E+00   1.8619767E+00
   1.0881228E+00  -4.1610450E-03   1.5274071E+00   1.8620020E+00
   1.0954391E+00  -4.4813259E-03   1.6223537E+00   1.8626913E+00
   1.0991226E+00  -4.2683920E-03   1.6310593E+00   1.8627377E+00
   1.1028236E+00  -3.3296479E-03   1.6414974E+00   1.8627294E+00
   1.1102794E+00  -4.1829236E-03   1.6934080E+00   1.8631730E+00
   1.1140349E+00  -4.6559731E-03   1.7430266E+00   1.8636481E+00
   1.1178093E+00  -5.2002124E-03   1.7493484E+00   1.8636812E+00
   1.1254154E+00  -4.8553054E-03   1.7940769E+00   1.8641554E+00
   1.1292470E+00  -5.2253818E-03   1.8206345E+00   1.8645046E+00
   1.1330993E+00  -5.4944055E-03   1.8265172E+00   1.8645688E+00
   1.1408718E+00  -5.8197859E-03   1.8737068E+00   1.8652946E+00
   1.1447933E+00  -6.0386006E-03   1.8731852E+00   1.8653320E+00
   1.1501614E+00  -6.5582236E-03   1.8935323E+00   1.8657879E+00
   1.1530472E+00  -6.3609914E-03   1.9159452E+00   1.8661547E+00
   1.1592592E+00  -6.0032830E-03   1.9535123E+00   1.8667772E+00
   1.1625999E+00  -6.1810492E-03   1.9647058E+00   1.8670206E+00
   1.1697910E+00  -6.4636660E-03   2.0238249E+00   1.8684309E+00
   1.1735052E+00  -6.2399958E-03   2.0129592E+00   1.8684586E+00
   1.1772224E+00  -6.1601177E-03   1.9985341E+00   1.8683684E+00
   1.1850046E+00  -6.5189577E-03   2.0153239E+00   1.8688915E+00
   1.1891844E+00  -6.0247392E-03   2.0317068E+00   1.8695875E+00
   1.1934965E+00  -5.9259385E-03   2.0210509E+00   1.8696473E+00
   1.1978528E+00  -6.3540572E-03   2.0435464E+00   1.8704025E+00
   1.2022557E+00  -5.8424920E-03   2.0321012E+00   1.8704993E+00
   1.2067072E+00  -5.4985941E-03   2.0538764E+00   1.8712428E+00
   1.2127188E+00  -5.7628895E-03   2.0301073E+00   1.8713653E+00
   1.2193468E+00  -5.2490751E-03   2.0423849E+00   1.8716954E+00
   1.2229112E+00  -5.2229702E-03   2.1399593E+00   1.8736031E+00
   1.2266539E+00  -4.4162250E-03   2.1196177E+00   1.8735043E+00
   1.2347101E+00  -5.5776713E-03   2.0729449E+00   1.8724169E+00
   1.2390428E+00  -4.7753733E-03   2.0970995E+00   1.8729448E+00
   1.2435920E+00  -4.5200307E-03   2.0917246E+00   1.8730189E+00
   1.2483687E+00  -4.5383242E-03   2.1293168E+00   1.8739578E+00
   1.2533844E+00  -3.8209183E-03   2.1372526E+00   1.8743638E+00
   1.2584803E+00  -4.0628668E-03   2.1392434E+00   1.8743774E+00
   1.2636495E+00  -3.7818812E-03   2.1618383E+00   1.8749809E+00
   1.2688930E+00  -3.4021884E-03   2.1813951E+00   1.8754033E+00
   1.2731508E+00  -3.4039929E-03   2.1959567E+00   1.8758250E+00
   1.2764710E+00  -3.6334018E-03   2.1916349E+00   1.8758703E+00
   1.2836179E+00  -3.0255583E-03   2.2420495E+00   1.8767536E+00
   1.2874615E+00  -2.7268175E-03   2.2501473E+00   1.8767641E+00
   1.2914972E+00  -2.6535387E-03   2.2929847E+00   1.8774987E+00
   1.2957348E+00  -2.4457001E-03   2.2989771E+00   1.8775877E+00
   1.3001842E+00  -2.4192529E-03   2.3095982E+00   1.8776520E+00
   1.3048562E+00  -2.5631161E-03   2.3679857E+00   1.8788425E+00
   1.3097616E+00  -1.7053208E-03   2.3889320E+00   1.8792961E+00
   1.3149124E+00  -2.3026871E-03   2.4097276E+00   1.8794593E+00
   1.3203208E+00  -2.1499072E-03   2.4415703E+00   1.8798783E+00
   1.3259995E+00  -2.1813498E-03   2.4793453E+00   1.8804908E+00
   1.3319622E+00  -1.7066397E-03   2.5266545E+00   1.8814064E+00
   1.3382230E+00  -2.2230151E-03   2.5608115E+00   1.8818591E+00
   1.3457514E+00  -2.0104526E-03   2.6419625E+00   1.8833011E+00
   1.3507116E+00  -1.0504301E-03   2.7003736E+00   1.8841513E+00
   1.3564537E+00  -1.6736084E-03   2.7446282E+00   1.8848053E+00
   1.3607762E+00  -1.3854648E-03   2.7672136E+00   1.8850653E+00
   1.3655417E+00  -1.5735701E-03   2.8018599E+00   1.8854038E+00
   1.3707957E+00  -1.8155786E-03   2.8488572E+00   1.8859812E+00
   1.3765882E+00  -1.8980710E-03   2.9483151E+00   1.8886024E+00
   1.3797035E+00  -1.5340456E-03   2.9543321E+00   1.8885609E+00
   1.3864092E+00  -1.0615194E-03   2.9670336E+00   1.8877707E+00
   1.3900154E+00  -1.2718058E-03   2.9816825E+00   1.8875889E+00
   1.3938020E+00  -2.2134562E-03   3.0345006E+00   1.8883624E+00
   1.4019527E+00  -1.4788206E-03   3.1138966E+00   1.8899635E+00
   1.4063362E+00  -1.6522304E-03   3.1357846E+00   1.8900856E+00
   1.4109389E+00  -1.7210781E-03   3.1539125E+00   1.8901585E+00
   1.4157716E+00  -1.8405542E-03   3.2171845E+00   1.8912772E+00
   1.4208461E+00  -1.7574884E-03   3.2323968E+00   1.8912781E+00
   1.4261742E+00  -1.8587165E-03   3.2728539E+00   1.8917910E+00
   1.4317688E+00  -1.5789811E-03   3.3095255E+00   1.8924128E+00
   1.4376431E+00  -1.6241489E-03   3.3389037E+00   1.8928841E+00
   1.4438111E+00  -1.3810003E-03   3.3796303E+00   1.8936226E+00
   1.4502875E+00  -1.6950562E-03   3.4110680E+00   1.8941824E+00
   1.4568650E+00  -2.2250763E-03   3.4395335E+00   1.8947062E+00
   1.4633965E+00  -1.4727245E-03   3.4781291E+00   1.8957465E+00
   1.4699358E+00  -2.2540009E-03   3.5029800E+00   1.8963753E+00
   1.4764949E+00  -1.9474073E-03   3.5276041E+00   1.8971448E+00
   1.4830924E+00  -1.8149853E-03   3.5515621E+00   1.8979886E+00
   1.4893008E+00  -1.6817693E-03   3.5725684E+00   1.8988364E+00
   1.4955864E+00  -1.5498200E-03   3.5902412E+00   1.8996187E+00
   1.5015458E+00  -1.3587752E-03   3.6070616E+00   1.9005501E+00
   1.5075971E+00  -1.5529840E-03   3.6202171E+00   1.9012483E+00
   1.5139508E+00  -1.3739469E-03   3.6303961E+00   1.9019873E+00
   1.5204933E+00  -1.4772128E-03   3.6390934E+00   1.9028800E+00
   1.5265489E+00  -1.2049066E-03   3.6468604E+00   1.9037554E+00
   1.5323018E+00  -9.5130526E-04   3.6537707E+00   1.9045537E+00
   1.5380524E+00  -1.0687090E-03   3.6578743E+00   1.9053968E+00
   1.5436134E+00  -7.9906819E-04   3.6601033E+00   1.9062179E+00
   1.5492417E+00   8.5212319E-05   3.6577666E+00   1.9070036E+00
   1.5549076E+00   1.3813697E-04   3.6564441E+00   1.9077510E+00
   1.5605824E+00   2.9242827E-04   3.6540999E+00   1.9084563E+00
   1.5659611E+00   7.3900865E-04   3.6525455E+00   1.9091214E+00
   1.5711627E+00   8.0864422E-04   3.6495962E+00   1.9096174E+00
   1.5763768E+00   1.2115153E-03   3.6492240E+00   1.9102876E+00
   1.5816240E+00   1.9613430E-03   3.6483545E+00   1.9109013E+00
   1.5867785E+00   2.1852809E-03   3.6474352E+00   1.9114404E+00
   1.5918455E+00   2.4581112E-03   3.6468499E+00   1.9120264E+00
   1.5968305E+00   2.7285391E-03   3.6470785E+00   1.9126016E+00
   1.6017379E+00   3.0692965E-03   3.6471589E+00   1.9131550E+00
   1.6065722E+00   3.5305563E-03   3.6489434E+00   1.9136996E+00
   1.6113371E+00   3.5234771E-03   3.6520026E+00   1.9142392E+00
   1.6160362E+00   4.4499394E-03   3.6553929E+00   1.9148785E+00
   1.6206731E+00   3.9098100E-03   3.6594284E+00   1.9152293E+00
   1.6252502E+00   4.2267204E-03   3.6626694E+00   1.9157485E+00
   1.6297705E+00   5.0405706E-03   3.6674135E+00   1.9163297E+00
   1.6386511E+00   5.5723074E-03   3.6768467E+00   1.9174327E+00
   1.6430160E+00   5.8583464E-03   3.6817570E+00   1.9179418E+00
   1.6473333E+00   6.4969626E-03   3.6874726E+00   1.9184397E+00
   1.6515917E+00   6.6029811E-03   3.6935039E+00   1.9189326E+00
   1.6557480E+00   6.8683848E-03   3.7012830E+00   1.9194310E+00
   1.6598519E+00   7.1734390E-03   3.7076166E+00   1.9199133E+00
   1.6681067E+00   6.9120047E-03   3.7210488E+00   1.9210036E+00
   1.6721767E+00   7.8230686E-03   3.7304156E+00   1.9211192E+00
   1.6762104E+00   7.9341987E-03   3.7368584E+00   1.9221301E+00
   1.6802090E+00   8.7072272E-03   3.7444234E+00   1.9226551E+00
   1.6880692E+00   8.2991412E-03   3.7620225E+00   1.9233660E+00
   1.6919326E+00   8.7670414E-03   3.7713017E+00   1.9234719E+00
   1.6957632E+00   8.8993870E-03   3.7734268E+00   1.9245340E+00
   1.6995859E+00   9.3500791E-03   3.7807426E+00   1.9250995E+00
   1.7070670E+00   8.9736953E-03   3.7940083E+00   1.9257908E+00
   1.7106973E+00   9.0905949E-03   3.8061388E+00   1.9258258E+00
   1.7142973E+00   9.1793640E-03   3.8185022E+00   1.9259158E+00
