  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   19:04:20  02/29/2024 tjbn     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   8.8227558E-01  -1.2194893E-04  -2.3353000E-01  -3.4149578E-01
   8.8712764E-01  -5.7153712E-04  -2.1623656E-01  -3.4118927E-01
   8.9257538E-01  -8.3826762E-04  -1.9392523E-01  -3.4132028E-01
   8.9802575E-01  -9.3100412E-04  -1.7269021E-01  -3.4155881E-01
   9.0194547E-01  -9.5655833E-04  -1.5900680E-01  -3.4162092E-01
   9.0626693E-01  -1.0937620E-03  -1.4795095E-01  -3.4152237E-01
   9.1103131E-01  -1.4505147E-03  -1.3500549E-01  -3.4150806E-01
   9.1595191E-01  -1.6901660E-03  -1.2057275E-01  -3.4171510E-01
   9.2175043E-01  -1.5184842E-03  -1.0365446E-01  -3.4251252E-01
   9.2649209E-01  -1.5138804E-03  -7.7895895E-02  -3.4301317E-01
   9.3192166E-01  -1.7113456E-03  -5.6093484E-02  -3.4261274E-01
   9.3699837E-01  -1.6705525E-03  -4.4145167E-02  -3.4225991E-01
   9.4142979E-01  -1.7937589E-03  -2.7801814E-02  -3.4191048E-01
   9.4655967E-01  -1.9634676E-03  -1.8866319E-02  -3.4184027E-01
   9.5183343E-01  -2.1730845E-03  -1.0665323E-03  -3.4240109E-01
   9.5693469E-01  -2.2355050E-03   2.9566709E-02  -3.4280723E-01
   9.6190244E-01  -1.4523002E-03   5.5015165E-02  -3.4304145E-01
   9.6676171E-01  -1.3930344E-03   6.0881648E-02  -3.4301001E-01
   9.7152972E-01  -1.3258710E-03   6.5944545E-02  -3.4312907E-01
   9.7621977E-01  -1.4064637E-03   8.0450073E-02  -3.4320542E-01
   9.8084408E-01  -1.5488409E-03   1.0826401E-01  -3.4334496E-01
   9.8541546E-01  -1.2458387E-03   1.8167520E-01  -3.4369430E-01
   9.9141884E-01  -7.1956529E-03   2.0602925E-01  -3.4377468E-01
   9.9580604E-01   2.4646050E-03   1.5773231E-01  -3.4392983E-01
   1.0015213E+00  -3.4301307E-03   1.3309745E-01  -3.4415209E-01
   1.0057226E+00  -2.3329977E-03   1.9646144E-01  -3.4409025E-01
   1.0112293E+00  -3.1879845E-03   2.2722094E-01  -3.4580258E-01
   1.0156329E+00  -3.4423657E-03   2.3891701E-01  -3.4688109E-01
   1.0210778E+00  -2.4710991E-03   2.5988355E-01  -3.4323627E-01
   1.0254282E+00  -1.1321714E-03   2.5700027E-01  -3.4711570E-01
   1.0305102E+00  -2.4689410E-03   2.7680546E-01  -3.4552604E-01
   1.0356865E+00  -9.9550257E-04   3.1467292E-01  -3.4677595E-01
   1.0408438E+00  -1.0661889E-03   3.3714637E-01  -3.4709972E-01
   1.0447109E+00  -1.8666955E-03   3.4600788E-01  -3.4750929E-01
   1.0498579E+00  -7.2758892E-05   3.5727340E-01  -3.4755376E-01
   1.0550054E+00   5.1556472E-05   3.7157342E-01  -3.4779555E-01
   1.0601521E+00  -1.8590172E-03   3.9295009E-01  -3.4768054E-01
   1.0652565E+00  -2.1536208E-03   4.1633311E-01  -3.4770933E-01
   1.0703809E+00  -4.7849759E-04   4.3459746E-01  -3.4761024E-01
   1.0746387E+00  -3.1789076E-03   4.5562765E-01  -3.4784910E-01
   1.0795678E+00  -7.2674393E-03   4.7477713E-01  -3.4794399E-01
   1.0852737E+00   5.1656729E-03   4.8316330E-01  -3.4762356E-01
   1.0895691E+00  -9.6439448E-04   5.0318885E-01  -3.4866673E-01
   1.0939022E+00  -2.3550352E-03   5.1474333E-01  -3.4867314E-01
   1.0987840E+00  -2.2175398E-03   5.4028124E-01  -3.4898749E-01
   1.1044352E+00  -1.7319530E-03   5.6870955E-01  -3.4806442E-01
   1.1103426E+00  -1.7447147E-03   5.8410412E-01  -3.4746510E-01
   1.1142656E+00  -1.6042477E-03   5.9933138E-01  -3.4897926E-01
   1.1201231E+00  -2.2336461E-03   6.1690271E-01  -3.4793201E-01
   1.1240146E+00  -1.3462887E-03   6.3991070E-01  -3.4831375E-01
   1.1295598E+00  -2.0558920E-03   6.6112971E-01  -3.4779245E-01
   1.1334497E+00  -1.9938049E-03   6.7623842E-01  -3.4848216E-01
   1.1391709E+00  -1.6301316E-03   6.9534475E-01  -3.5128057E-01
   1.1430320E+00  -2.5446683E-03   7.1395063E-01  -3.4691870E-01
   1.1488701E+00  -2.1921773E-03   7.3232466E-01  -3.5133067E-01
   1.1545501E+00  -1.8046396E-03   7.5048852E-01  -3.5180616E-01
   1.1586618E+00  -2.2449240E-03   8.1308758E-01  -3.5291034E-01
   1.1631951E+00  -4.0839086E-04   7.3971480E-01  -3.4045431E-01
   1.1693861E+00  -3.0955251E-03   8.7885278E-01  -3.4997696E-01
   1.1740466E+00  -1.7524151E-03   8.4947217E-01  -3.5136396E-01
   1.1791848E+00  -1.8564316E-03   8.3363545E-01  -3.5127011E-01
   1.1848496E+00  -2.5494627E-03   8.3645517E-01  -3.5181841E-01
   1.1878963E+00  -3.2985266E-03   9.0502703E-01  -3.5387686E-01
   1.1944540E+00  -2.6676052E-03   9.0686715E-01  -3.5298994E-01
   1.1979808E+00  -1.9501117E-03   9.0787154E-01  -3.5354280E-01
   1.2016466E+00  -2.2510693E-03   9.1374856E-01  -3.5487810E-01
   1.2085330E+00  -3.5481900E-03   1.0093426E+00  -3.5907677E-01
   1.2116240E+00  -2.2963306E-03   1.0058318E+00  -3.5803476E-01
   1.2173288E+00  -3.0564568E-03   9.6574205E-01  -3.5524577E-01
   1.2228539E+00  -4.9737240E-03   1.0500098E+00  -3.5954127E-01
   1.2280141E+00  -2.2511131E-03   1.0490234E+00  -3.5855553E-01
   1.2333608E+00  -1.5982331E-03   1.0416095E+00  -3.5934153E-01
   1.2386645E+00  -2.9428280E-03   1.0489793E+00  -3.6125705E-01
