  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   13:08:43  02/29/2024 cgix     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   8.9294720E-01   8.2513498E-04  -3.1536874E-01   1.2277892E+00
   8.9755386E-01  -1.5893996E-02  -2.6751250E-01   1.2279356E+00
   9.0198910E-01   9.2690159E-03  -2.1237025E-01   1.2281197E+00
   9.0738022E-01  -2.6347600E-02  -1.8923955E-01   1.2282915E+00
   9.1240662E-01  -6.4685068E-04  -1.7078161E-01   1.2284214E+00
   9.1646934E-01  -2.1506732E-03  -1.4222567E-01   1.2284201E+00
   9.2190403E-01   2.5008334E-02  -1.2885334E-01   1.2283710E+00
   9.2697513E-01  -3.8986336E-04  -3.0317485E-02   1.2289128E+00
   9.3180668E-01  -1.9592899E-03  -6.3858502E-02   1.2290714E+00
   9.3704367E-01   1.9393703E-03   2.5583343E-03   1.2289716E+00
   9.4173914E-01  -3.4983500E-03   4.4557590E-02   1.2294434E+00
   9.4622302E-01  -3.9862827E-03   7.3699877E-02   1.2296568E+00
   9.5194578E-01  -4.2325864E-03   8.1805699E-02   1.2295921E+00
   9.5611274E-01  -4.3159719E-03   1.3296920E-01   1.2297390E+00
   9.6093661E-01  -5.0713085E-03   1.6055208E-01   1.2299923E+00
   9.6652073E-01  -4.8511503E-03   2.1566358E-01   1.2304801E+00
   9.7061247E-01  -5.2224258E-03   2.2640638E-01   1.2307637E+00
   9.7661740E-01  -5.4754247E-03   2.6254851E-01   1.2312412E+00
   9.8053753E-01  -8.1532617E-04   2.9034281E-01   1.2316619E+00
   9.8635143E-01  -3.3584426E-03   3.1538612E-01   1.2322320E+00
   9.9029326E-01  -7.0201210E-03   3.6365888E-01   1.2326635E+00
   9.9631321E-01  -5.5992599E-03   3.9732751E-01   1.2332182E+00
   1.0005388E+00  -4.9484991E-03   4.3051797E-01   1.2336409E+00
   1.0069058E+00  -8.1689721E-03   4.7495708E-01   1.2341670E+00
   1.0113169E+00   2.0706713E-04   5.3515434E-01   1.2348433E+00
   1.0160241E+00  -7.7242837E-03   5.4937917E-01   1.2351930E+00
   1.0212138E+00  -4.4020806E-03   5.3481388E-01   1.2353324E+00
   1.0263273E+00  -6.0300012E-03   5.7582027E-01   1.2356014E+00
   1.0311373E+00  -5.6727445E-03   6.6192609E-01   1.2365255E+00
   1.0357345E+00  -4.6671587E-03   6.5263700E-01   1.2369508E+00
   1.0401696E+00  -4.9907798E-03   6.5637743E-01   1.2371777E+00
   1.0444793E+00  -6.0266126E-03   6.9716543E-01   1.2376798E+00
   1.0507152E+00  -5.6894845E-03   8.2466924E-01   1.2394024E+00
   1.0548129E+00  -7.0718839E-03   7.2259164E-01   1.2393415E+00
   1.0600935E+00  -4.8678648E-03   8.2827371E-01   1.2397504E+00
   1.0643890E+00  -5.9916306E-04   8.5185426E-01   1.2402425E+00
   1.0693614E+00  -5.1431810E-03   8.8156456E-01   1.2406745E+00
   1.0750740E+00  -6.7640664E-03   8.9277726E-01   1.2408619E+00
   1.0797435E+00  -4.7921315E-03   9.3618381E-01   1.2411792E+00
