  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   19:27:57  02/22/2024 gpju     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      704      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.7055635E+00   1.6617430E-02   4.0355582E+00   4.0088277E+00
   1.7124884E+00   1.6880684E-02   4.0622749E+00   4.0089474E+00
   1.7195827E+00   1.6716529E-02   4.0807347E+00   4.0125346E+00
   1.7267458E+00   1.6554592E-02   4.1121221E+00   4.0127783E+00
   1.7339970E+00   1.6519204E-02   4.1331334E+00   4.0152550E+00
   1.7411417E+00   1.6290093E-02   4.1664672E+00   4.0153546E+00
   1.7478226E+00   1.5657876E-02   4.1747260E+00   4.0180192E+00
   1.7541637E+00   1.5468844E-02   4.1986647E+00   4.0181551E+00
   1.7602625E+00   1.4754322E-02   4.1991663E+00   4.0199180E+00
   1.7662426E+00   1.4640123E-02   4.2172689E+00   4.0199246E+00
   1.7721764E+00   1.4214091E-02   4.2093511E+00   4.0213189E+00
   1.7781003E+00   1.3833595E-02   4.2233939E+00   4.0213656E+00
   1.7840203E+00   1.3377410E-02   4.2081656E+00   4.0227580E+00
   1.7899196E+00   1.3395110E-02   4.2208595E+00   4.0227537E+00
   1.7958153E+00   1.2628759E-02   4.1992044E+00   4.0240269E+00
   1.8017035E+00   1.2696430E-02   4.2077045E+00   4.0240579E+00
   1.8076332E+00   1.2235425E-02   4.2085829E+00   4.0240946E+00
   1.8135430E+00   1.0823629E-02   4.1387401E+00   4.0270762E+00
   1.8193835E+00   1.1183849E-02   4.1416192E+00   4.0269747E+00
   1.8251405E+00   1.0700520E-02   4.1389027E+00   4.0265985E+00
   1.8308161E+00   1.0768870E-02   4.1241775E+00   4.0264263E+00
   1.8364180E+00   9.3009025E-03   4.0221858E+00   4.0292401E+00
   1.8419614E+00   8.4868595E-03   4.0112715E+00   4.0293007E+00
   1.8474327E+00   8.5685859E-03   3.9975398E+00   4.0291371E+00
   1.8528596E+00   8.0510918E-03   3.9729970E+00   4.0292096E+00
   1.8582158E+00   6.7866123E-03   3.8657610E+00   4.0323896E+00
   1.8635175E+00   7.2634025E-03   3.8521278E+00   4.0325804E+00
   1.8687763E+00   6.6372007E-03   3.8325281E+00   4.0325880E+00
   1.8739955E+00   6.7395521E-03   3.8014567E+00   4.0327482E+00
   1.8790195E+00   5.7898141E-03   3.7573199E+00   4.0332513E+00
   1.8841544E+00   5.2119549E-03   3.5911722E+00   4.0364923E+00
   1.8892436E+00   3.6479444E-03   3.5696714E+00   4.0368133E+00
   1.8942871E+00   3.8515697E-03   3.5569367E+00   4.0365992E+00
   1.8992913E+00   3.3573424E-03   3.5389717E+00   4.0361395E+00
