  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   20:21:40  02/28/2024 httg     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      993      0.000E+00      1.714E+00
   time              pfxob_1         pfyob_1         pfzob_1
   4.6103287E-01   1.3243700E-02   2.7128339E+00   5.4869896E-01
   4.6218091E-01   1.1971573E-02   2.6984649E+00   5.4749012E-01
   4.6452087E-01   1.5408136E-02   2.6323907E+00   5.4457325E-01
   4.6554920E-01   1.7195171E-02   2.5960963E+00   5.4522628E-01
   4.6814257E-01   4.5619332E-03   2.4708848E+00   5.4509193E-01
   4.6985197E-01   2.2779245E-02   2.4238706E+00   5.3514677E-01
   4.7077128E-01   1.9587846E-02   2.3863103E+00   5.4237294E-01
   4.7275010E-01   1.3150414E-02   2.3750470E+00   5.3395373E-01
   4.7493175E-01   7.9203993E-03   2.3283181E+00   5.3944021E-01
   4.7610506E-01   6.7286608E-03   2.2960525E+00   5.3154993E-01
   4.7858438E-01  -3.6424413E-02   2.1899447E+00   5.3241837E-01
   4.7970337E-01   4.1256551E-02   2.1064160E+00   5.4769915E-01
   4.8087829E-01   2.8289191E-02   2.0859249E+00   5.3068620E-01
   4.8336694E-01   5.1265932E-03   2.0301075E+00   5.2509850E-01
   4.8457813E-01  -6.1254441E-03   2.0061939E+00   5.3692025E-01
   4.8692483E-01   3.1667840E-02   1.9035190E+00   5.1460123E-01
   4.8809677E-01   1.6748888E-02   1.8829806E+00   5.1668984E-01
   4.9045977E-01   1.4288354E-02   1.7738566E+00   5.2081251E-01
   4.9156663E-01   1.7656382E-02   1.7353330E+00   5.1344168E-01
   4.9382925E-01   1.8505424E-02   1.6961125E+00   5.1579547E-01
   4.9501458E-01   1.7672202E-02   1.6749115E+00   5.1551074E-01
   4.9749559E-01   8.7306974E-03   1.5416179E+00   5.1207232E-01
   4.9858633E-01   5.5036871E-03   1.5003350E+00   5.1352751E-01
   4.9973157E-01   1.4398026E-02   1.4493496E+00   5.0924349E-01
   5.0219673E-01   1.3934686E-02   1.3974874E+00   5.1011425E-01
   5.0348186E-01   8.1653800E-03   1.3789797E+00   5.0923496E-01
   5.0602603E-01   1.0638546E-02   1.2637213E+00   5.0797391E-01
   5.0729156E-01   9.4010383E-03   1.2161684E+00   5.0895327E-01
   5.0855446E-01   7.4169277E-03   1.1718309E+00   5.0643009E-01
   5.1106840E-01   1.1051545E-02   1.1141380E+00   5.0443733E-01
   5.1231992E-01   7.6711928E-03   1.0481347E+00   5.0401384E-01
   5.1356953E-01   4.3916935E-03   1.0088282E+00   5.0499368E-01
   5.1606458E-01   2.5179295E-03   8.8156116E-01   5.0373423E-01
   5.1730043E-01  -1.1977738E-02   8.3629757E-01   5.0288332E-01
   5.1853651E-01   5.8042635E-03   8.0389601E-01   5.0309491E-01
   5.2104598E-01   2.1206129E-02   7.5506002E-01   5.0303894E-01
   5.2230835E-01   9.5344447E-03   7.5054240E-01   5.0464463E-01
   5.2475977E-01   3.2569520E-04   6.2980098E-01   5.0190139E-01
   5.2596354E-01  -9.5261466E-03   5.1629484E-01   5.0352246E-01
   5.2716994E-01   2.7279987E-03   4.7786629E-01   5.0456482E-01
