  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   15:14:29  02/29/2024 qiqb     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.932E+00
   time              pfxob_1         pfyob_1         pfzob_1
   9.6256512E-01  -2.0299619E-03   2.6777474E-02   6.9028682E-01
   9.6711642E-01  -5.2121212E-03   5.1737402E-02   6.9019306E-01
   9.7206992E-01   2.2779873E-03   9.6569903E-02   6.9100332E-01
   9.7698247E-01  -2.7801716E-03   1.2952457E-01   6.9108713E-01
   9.8181832E-01  -2.5049713E-03   1.5269083E-01   6.9126815E-01
   9.8639649E-01  -2.1007378E-03   1.7241672E-01   6.9130719E-01
   9.9089921E-01  -2.1546641E-03   1.9596232E-01   6.9158947E-01
   9.9586344E-01  -2.1145707E-03   2.2545305E-01   6.9176751E-01
   1.0013365E+00  -2.7973140E-03   3.2479376E-01   6.9244260E-01
   1.0073706E+00  -1.9765052E-03   2.9516351E-01   6.9270056E-01
   1.0106157E+00  -2.4486983E-03   3.0290493E-01   6.9274783E-01
   1.0140231E+00  -3.1700679E-03   3.5235450E-01   6.9282323E-01
   1.0209537E+00  -2.5188182E-03   3.6479950E-01   6.9301397E-01
   1.0244896E+00  -2.0473073E-03   4.1610363E-01   6.9247013E-01
   1.0314587E+00  -2.3127166E-03   4.2885506E-01   6.9359624E-01
   1.0350454E+00  -2.4974088E-03   4.4383973E-01   6.9355810E-01
   1.0386497E+00  -2.7167830E-03   4.6317410E-01   6.9379973E-01
   1.0458837E+00  -2.5216723E-03   5.3189558E-01   6.9494605E-01
   1.0513291E+00  -3.5073943E-03   5.4004055E-01   6.9511551E-01
   1.0542579E+00  -3.5466831E-03   5.5219811E-01   6.9528240E-01
   1.0605617E+00  -3.1758512E-03   6.3617921E-01   6.9546264E-01
   1.0639520E+00  -3.0952964E-03   6.3394892E-01   6.9542742E-01
   1.0712495E+00  -3.0005134E-03   6.4352202E-01   6.9528770E-01
   1.0750684E+00  -3.1977370E-03   6.6083401E-01   6.9517851E-01
   1.0789109E+00  -3.6980503E-03   7.5793254E-01   6.9546950E-01
   1.0866746E+00  -3.3434064E-03   7.5437945E-01   6.9599372E-01
   1.0905960E+00  -3.3802337E-03   7.5441784E-01   6.9617003E-01
   1.0953736E+00  -4.5192391E-03   7.5759590E-01   6.9622093E-01
   1.1006409E+00  -5.2155862E-03   9.0614551E-01   6.9733065E-01
   1.1034738E+00  -4.1801375E-03   9.0145469E-01   6.9758165E-01
   1.1095713E+00  -3.7119312E-03   8.7332082E-01   6.9769263E-01
   1.1128505E+00  -3.8923796E-03   8.6982369E-01   6.9766235E-01
   1.1193492E+00  -4.9276785E-03   8.8564199E-01   6.9731134E-01
   1.1255691E+00  -5.0529055E-03   9.8904723E-01   6.9691271E-01
   1.1286277E+00  -4.4237180E-03   9.8648190E-01   6.9720656E-01
   1.1347582E+00  -4.2633372E-03   9.8286986E-01   6.9699579E-01
   1.1379658E+00  -4.5096963E-03   9.9074477E-01   6.9696099E-01
   1.1447799E+00  -5.5852053E-03   1.0665365E+00   6.9742328E-01
   1.1483989E+00  -4.2422670E-03   1.0755510E+00   6.9804788E-01
   1.1521988E+00  -3.7720781E-03   1.0808948E+00   6.9822443E-01
   1.1601787E+00  -5.2880733E-03   1.1568626E+00   6.9825786E-01
   1.1644702E+00  -4.7078328E-03   1.1632482E+00   6.9869047E-01
   1.1689761E+00  -4.3682726E-03   1.1677210E+00   6.9888198E-01
   1.1735830E+00  -4.5827976E-03   1.1941353E+00   6.9881648E-01
   1.1781123E+00  -4.6368176E-03   1.2030787E+00   6.9902700E-01
   1.1825677E+00  -5.2828505E-03   1.2523216E+00   6.9878948E-01
   1.1869504E+00  -4.8788926E-03   1.2603991E+00   6.9908047E-01
   1.1912643E+00  -4.6364912E-03   1.2880665E+00   6.9900227E-01
   1.1996965E+00  -5.3791706E-03   1.3337214E+00   6.9903594E-01
   1.2030163E+00  -5.1146578E-03   1.3391314E+00   6.9934350E-01
   1.2065021E+00  -4.3970519E-03   1.3488774E+00   6.9936866E-01
   1.2140052E+00  -5.0043166E-03   1.4332436E+00   6.9938672E-01
   1.2179447E+00  -4.4936668E-03   1.4364249E+00   6.9974434E-01
   1.2218369E+00  -4.5278850E-03   1.4375421E+00   6.9987804E-01
   1.2294906E+00  -5.0087976E-03   1.4787577E+00   6.9952506E-01
   1.2332599E+00  -4.6691825E-03   1.4897894E+00   6.9992733E-01
   1.2369932E+00  -4.3620244E-03   1.5261652E+00   7.0012105E-01
   1.2406909E+00  -4.2784484E-03   1.5317334E+00   7.0017833E-01
   1.2479887E+00  -4.7507887E-03   1.5893295E+00   6.9956881E-01
   1.2515912E+00  -4.4111465E-03   1.5967640E+00   6.9990319E-01
   1.2587093E+00  -3.9634882E-03   1.6131650E+00   6.9997692E-01
   1.2622267E+00  -4.4336263E-03   1.6636872E+00   6.9956374E-01
   1.2657174E+00  -3.9460976E-03   1.6710659E+00   6.9987643E-01
   1.2726244E+00  -3.9127627E-03   1.6863673E+00   6.9980323E-01
   1.2760437E+00  -4.0473226E-03   1.7005781E+00   6.9961536E-01
   1.2828199E+00  -3.8105855E-03   1.7748924E+00   6.9968349E-01
   1.2861782E+00  -3.7480311E-03   1.7746360E+00   6.9976199E-01
   1.2928410E+00  -3.8902692E-03   1.7829841E+00   6.9928616E-01
   1.2961483E+00  -4.3937303E-03   1.8323665E+00   6.9875211E-01
   1.3027196E+00  -3.8386565E-03   1.8492785E+00   6.9895321E-01
   1.3059835E+00  -3.3929376E-03   1.8597611E+00   6.9879133E-01
   1.3124704E+00  -3.6853771E-03   1.8914175E+00   6.9807619E-01
   1.3156943E+00  -4.3189949E-03   1.9744051E+00   6.9760376E-01
   1.3220979E+00  -3.0630371E-03   1.9665997E+00   6.9795096E-01
   1.3252801E+00  -2.9731046E-03   1.9653462E+00   6.9784230E-01
   1.3316123E+00  -3.4555527E-03   1.9717335E+00   6.9725686E-01
   1.3347646E+00  -4.3509887E-03   2.0353010E+00   6.9654465E-01
   1.3410443E+00  -3.0912573E-03   2.0509081E+00   6.9701815E-01
   1.3472877E+00  -3.0831378E-03   2.0700502E+00   6.9650418E-01
   1.3503956E+00  -3.7015844E-03   2.1237781E+00   6.9575435E-01
   1.3565850E+00  -2.5677227E-03   2.1310542E+00   6.9616795E-01
   1.3596672E+00  -2.3351563E-03   2.1348524E+00   6.9594753E-01
   1.3658094E+00  -2.8275463E-03   2.1570749E+00   6.9523692E-01
   1.3719245E+00  -2.2529971E-03   2.2251537E+00   6.9487894E-01
   1.3761675E+00  -1.7234907E-03   2.2149737E+00   6.9458300E-01
   1.3799397E+00  -2.9943322E-03   2.2365315E+00   6.9427371E-01
   1.3859099E+00  -6.8838021E-04   2.2970140E+00   6.9478369E-01
   1.3912177E+00  -1.2106861E-03   2.2824025E+00   6.9380319E-01
