  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   00:10:43  08/26/2023 sogp     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing p, pfxob, pfyob, pfzob, pfob, vmax and others       
       1     1002      0.000E+00      2.280E+01
   time              p_1             pfxob_1         pfyob_1         pfzob_1         pfob_1          vmax_0          vmaxsrf_0
   3.5114036E+00   1.4754796E+03  -1.3696765E-02   1.8735398E+00   5.6492153E-16   1.8735899E+00   2.1832788E-01   2.1910079E-01
   3.5345037E+00   1.4870875E+03  -1.3135836E-02   2.0758927E+00   5.5867657E-16   2.0759344E+00   2.1550052E-01   2.1629481E-01
   3.5578954E+00   1.4915308E+03  -1.2585356E-02   2.1253328E+00   5.4762125E-16   2.1253700E+00   2.1174183E-01   2.1494988E-01
   3.5780056E+00   1.5009016E+03  -2.2671152E-02   2.4690475E+00   5.4936900E-16   2.4691515E+00   2.1363717E-01   2.1993621E-01
   3.6014411E+00   1.5100747E+03  -9.6929166E-03   2.2617610E+00   5.5419772E-16   2.2617817E+00   2.1656002E-01   2.2435634E-01
   3.6247053E+00   1.5170179E+03  -1.5233463E-02   2.3288832E+00   5.5166287E-16   2.3289330E+00   2.1967039E-01   2.2723739E-01
   3.6478753E+00   1.5260796E+03  -1.8124457E-02   2.3290603E+00   5.5784902E-16   2.3291309E+00   2.2165753E-01   2.2887263E-01
   3.6709967E+00   1.5389288E+03  -1.8405227E-02   2.4436936E+00   5.6296118E-16   2.4437630E+00   2.2257495E-01   2.2947706E-01
   3.6945963E+00   1.5505232E+03  -2.1505404E-02   2.4182174E+00   5.6345860E-16   2.4183130E+00   2.2309220E-01   2.3486522E-01
   3.7147746E+00   1.5596857E+03  -2.2524033E-02   2.4133840E+00   5.6147548E-16   2.4134891E+00   2.2773558E-01   2.4123545E-01
   3.7407298E+00   1.5727745E+03  -2.5735166E-02   2.5073099E+00   5.6072750E-16   2.5074418E+00   2.3400475E-01   2.4815695E-01
   3.7608354E+00   1.5828074E+03  -2.7995024E-02   2.5920236E+00   5.6195845E-16   2.5921748E+00   2.3801930E-01   2.5241140E-01
   3.7843747E+00   1.5956727E+03  -3.0260565E-02   2.7176681E+00   5.6296001E-16   2.7178366E+00   2.4164182E-01   2.5664079E-01
   3.8078151E+00   1.6078873E+03  -3.3213917E-02   2.8622236E+00   5.6251765E-16   2.8624163E+00   2.4378623E-01   2.5770241E-01
   3.8311646E+00   1.6197894E+03  -3.6345694E-02   3.0218456E+00   5.6036481E-16   3.0220642E+00   2.4694997E-01   2.5862935E-01
   3.8542960E+00   1.6338718E+03  -4.0109627E-02   3.1980011E+00   5.5829747E-16   3.1982527E+00   2.5164658E-01   2.6042637E-01
   3.8772693E+00   1.6460162E+03  -4.3143928E-02   3.3223934E+00   5.5585240E-16   3.3226736E+00   2.5309861E-01   2.5956526E-01
   3.9002912E+00   1.6581814E+03  -4.6496537E-02   3.4288228E+00   5.5199374E-16   3.4291379E+00   2.6135933E-01   2.6089028E-01
