  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:40:50  02/21/2024 ribq     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.0220820E+00   9.9671457E-04  -5.4146380E+00  -3.6089051E-01
   1.0253294E+00   1.4159391E-02  -5.3883867E+00  -3.5019368E-01
   1.0289572E+00   1.5186177E-02  -5.4155283E+00  -3.5203928E-01
   1.0320200E+00  -1.0633097E-02  -5.4293327E+00  -3.4558418E-01
   1.0356599E+00   1.8268483E-02  -5.3587918E+00  -3.3798853E-01
   1.0387461E+00   8.4000835E-03  -5.3359771E+00  -3.3304593E-01
   1.0424526E+00   6.5685757E-03  -5.3255291E+00  -3.2499641E-01
   1.0457313E+00   3.4163017E-02  -5.3643208E+00  -3.2547444E-01
   1.0486913E+00   2.9335674E-02  -5.3118248E+00  -3.2731453E-01
   1.0521556E+00   1.3169553E-02  -5.1992631E+00  -3.1260848E-01
   1.0554348E+00   1.2739199E-02  -5.2236991E+00  -3.0633020E-01
   1.0586650E+00   1.1453769E-02  -5.2406750E+00  -3.0318969E-01
   1.0620776E+00   9.1026174E-03  -5.2100124E+00  -2.9569378E-01
   1.0654474E+00   1.2129870E-02  -5.1743555E+00  -2.9997954E-01
   1.0692227E+00   3.0928487E-03  -5.1324000E+00  -2.8619245E-01
   1.0721350E+00   4.9135229E-03  -5.1308098E+00  -2.8421661E-01
   1.0759690E+00   3.9596977E-03  -5.0809031E+00  -2.8373337E-01
   1.0787021E+00   9.7269490E-03  -5.0721526E+00  -2.7845985E-01
   1.0825108E+00  -6.6030701E-03  -5.0522175E+00  -2.7031595E-01
   1.0855511E+00   5.3815772E-03  -4.9846134E+00  -2.6592022E-01
   1.0895607E+00   5.8242679E-03  -4.9726710E+00  -2.6112658E-01
   1.0926819E+00   2.1708153E-02  -4.9275146E+00  -2.5928125E-01
   1.0957965E+00   1.7710861E-02  -4.9220953E+00  -2.5609523E-01
   1.0989066E+00  -6.6861190E-04  -4.8885283E+00  -2.5209069E-01
   1.1020142E+00   2.4609298E-03  -4.8547916E+00  -2.4658854E-01
   1.1061560E+00   1.5129711E-03  -4.8067360E+00  -2.4231072E-01
   1.1092170E+00   2.2080766E-02  -4.7923741E+00  -2.3685122E-01
   1.1122330E+00   1.6245259E-02  -4.7462077E+00  -2.3477229E-01
   1.1162518E+00   1.4098686E-02  -4.7261720E+00  -2.2880505E-01
