  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   10:29:12  02/26/2024 qiqb     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      337      0.000E+00      2.367E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.9239856E+00   8.5755787E-04   3.2041733E+00   4.0395427E+00
   1.9288816E+00   1.9110837E-04   3.1502838E+00   4.0395293E+00
   1.9337360E+00  -5.0101458E-04   3.0978503E+00   4.0394216E+00
   1.9385498E+00  -1.4242464E-03   3.0440354E+00   4.0392904E+00
   1.9432849E+00  -1.7704567E-03   2.9883654E+00   4.0391822E+00
   1.9479400E+00  -2.3760824E-03   2.9293723E+00   4.0391045E+00
   1.9525577E+00  -2.7317151E-03   2.8878920E+00   4.0390663E+00
   1.9571059E+00  -3.6660403E-03   2.8173039E+00   4.0389924E+00
   1.9615896E+00  -4.1761948E-03   2.7711060E+00   4.0389495E+00
   1.9660808E+00  -4.8358790E-03   2.7200894E+00   4.0388832E+00
   1.9706056E+00  -5.5728564E-03   2.6382473E+00   4.0387001E+00
   1.9751509E+00  -6.1664139E-03   2.5674925E+00   4.0384588E+00
   1.9842938E+00  -7.7686850E-03   2.4529591E+00   4.0377617E+00
   1.9888314E+00  -8.5259499E-03   2.4088645E+00   4.0373664E+00
   1.9933400E+00  -9.1922283E-03   2.3643341E+00   4.0369911E+00
   1.9978424E+00  -9.6223401E-03   2.3188031E+00   4.0366640E+00
   2.0023491E+00  -1.0521384E-02   2.2720978E+00   4.0364070E+00
   2.0068707E+00  -1.1656303E-02   2.2227325E+00   4.0362225E+00
   2.0114095E+00  -1.1802337E-02   2.1708009E+00   4.0360970E+00
   2.0159655E+00  -1.2032867E-02   2.1190329E+00   4.0360126E+00
   2.0205369E+00  -1.2448048E-02   2.0667665E+00   4.0359521E+00
   2.0251243E+00  -1.3113672E-02   2.0141988E+00   4.0359020E+00
   2.0297155E+00  -1.3718314E-02   1.9630892E+00   4.0358539E+00
   2.0343132E+00  -1.4488178E-02   1.9136983E+00   4.0357985E+00
   2.0435359E+00  -1.5639886E-02   1.8197399E+00   4.0356412E+00
   2.0481691E+00  -1.6143145E-02   1.7942876E+00   4.0355740E+00
   2.0528202E+00  -1.6634999E-02   1.7355441E+00   4.0354404E+00
   2.0574911E+00  -1.7337300E-02   1.7058979E+00   4.0352907E+00
   2.0621712E+00  -1.8147547E-02   1.6395360E+00   4.0350013E+00
   2.0667813E+00  -1.8612901E-02   1.5795060E+00   4.0346446E+00
   2.0713677E+00  -1.9008990E-02   1.5266540E+00   4.0343108E+00
   2.0759494E+00  -1.9796606E-02   1.5040811E+00   4.0341372E+00
   2.0805480E+00  -2.0536738E-02   1.4565248E+00   4.0338478E+00
   2.0851810E+00  -2.0833191E-02   1.4347732E+00   4.0335870E+00
   2.0897722E+00  -2.1804474E-02   1.3813307E+00   4.0330663E+00
   2.0943766E+00  -2.2922767E-02   1.3327134E+00   4.0324059E+00
   2.0989974E+00  -2.4306962E-02   1.2860218E+00   4.0317111E+00
   2.1036100E+00  -2.5323134E-02   1.2421772E+00   4.0310230E+00
   2.1082175E+00  -2.6901938E-02   1.0632372E+00   4.0274186E+00
   2.1174111E+00  -2.7787739E-02   1.1009641E+00   4.0280647E+00
   2.1220012E+00  -2.8818952E-02   1.1068209E+00   4.0284081E+00
   2.1265900E+00  -2.9511750E-02   1.0909529E+00   4.0284133E+00
   2.1311824E+00  -3.0345088E-02   1.0405327E+00   4.0278711E+00
   2.1357830E+00  -3.0424304E-02   7.6912940E-01   4.0231261E+00
   2.1403956E+00  -3.0106980E-02   7.6919907E-01   4.0227399E+00
   2.1450117E+00  -3.1809043E-02   7.8295034E-01   4.0227938E+00
   2.1496346E+00  -3.2575160E-02   7.8896981E-01   4.0230618E+00
   2.1542723E+00  -3.4182381E-02   7.6669610E-01   4.0227966E+00
   2.1589363E+00  -3.2416694E-02   5.7376093E-01   4.0180888E+00
   2.1632395E+00  -3.4442157E-02   5.6917739E-01   4.0180936E+00
   2.1714940E+00  -3.5120070E-02   5.2801681E-01   4.0186691E+00
   2.1759331E+00  -3.5195291E-02   4.6055320E-01   4.0185232E+00
