  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   12:10:22  02/16/2024 bnvl     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.3793716E+00  -1.5168551E-03   1.6526561E+00  -4.0217683E-01
   1.3875028E+00  -1.3762844E-03   1.6853101E+00  -4.0553972E-01
   1.3915256E+00  -1.6981630E-03   1.7117518E+00  -4.0840158E-01
   1.3955213E+00  -1.4564262E-03   1.7261503E+00  -4.0956694E-01
   1.3994907E+00  -1.7128951E-03   1.7386488E+00  -4.1115344E-01
   1.4034356E+00  -1.6587081E-03   1.7435960E+00  -4.1171730E-01
   1.4112537E+00  -1.3686833E-03   1.7880226E+00  -4.1652712E-01
   1.4151272E+00  -1.7105202E-03   1.7997321E+00  -4.1809040E-01
   1.4189781E+00  -1.4631277E-03   1.8046343E+00  -4.1888580E-01
   1.4266154E+00  -9.2896837E-04   1.8466089E+00  -4.2363361E-01
   1.4304026E+00  -1.1833005E-03   1.8580333E+00  -4.2530367E-01
   1.4338508E+00  -1.0366135E-03   1.8629358E+00  -4.2616671E-01
   1.4412012E+00  -8.7550021E-04   1.8944123E+00  -4.2989329E-01
   1.4449167E+00  -8.8066095E-04   1.9165497E+00  -4.3278474E-01
   1.4486145E+00  -5.9816410E-04   1.9215977E+00  -4.3346038E-01
   1.4559596E+00  -1.8350553E-04   1.9565394E+00  -4.3784854E-01
   1.4596087E+00  -2.1924426E-04   1.9608015E+00  -4.3850553E-01
   1.4632428E+00  -3.6892795E-04   1.9685372E+00  -4.3997562E-01
   1.4704689E+00  -7.9051073E-04   2.0380208E+00  -4.4774586E-01
   1.4740597E+00   2.6251058E-04   2.0376899E+00  -4.4762588E-01
   1.4776354E+00   7.2585192E-04   2.0358725E+00  -4.4802761E-01
   1.4847454E+00   5.1809684E-04   2.0407093E+00  -4.5052767E-01
   1.4882821E+00  -5.8075896E-04   2.0784700E+00  -4.5535347E-01
   1.4953253E+00   7.2689954E-04   2.0888526E+00  -4.5581898E-01
