  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   18:20:22  02/26/2024 iqiq     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.5524589E+00   2.8268856E-03   3.6861272E+00   1.2815084E+00
   1.5583341E+00   4.2388234E-03   3.6956005E+00   1.2803791E+00
   1.5626874E+00   3.5391117E-03   3.7065938E+00   1.2789512E+00
   1.5671408E+00   3.6049937E-03   3.7228415E+00   1.2776350E+00
   1.5733452E+00   5.5084066E-03   3.7952724E+00   1.2779446E+00
   1.5773709E+00   5.9871497E-03   3.7843897E+00   1.2770560E+00
   1.5834633E+00   5.3337556E-03   3.7909055E+00   1.2755083E+00
   1.5876848E+00   4.4014035E-03   3.8449802E+00   1.2756411E+00
   1.5920795E+00   7.2606835E-03   3.8525302E+00   1.2757189E+00
   1.5966676E+00   7.2941463E-03   3.8677466E+00   1.2741721E+00
   1.6013460E+00   6.9658291E-03   3.8865685E+00   1.2728559E+00
   1.6083180E+00   7.0312419E-03   3.9244242E+00   1.2715887E+00
   1.6129386E+00   1.0085051E-02   3.9410424E+00   1.2714801E+00
   1.6173329E+00   6.8369452E-03   3.9626441E+00   1.2706620E+00
   1.6213880E+00   8.4825726E-03   3.9835448E+00   1.2701564E+00
   1.6270648E+00   8.6688539E-03   4.0071950E+00   1.2732904E+00
   1.6311522E+00   8.7135052E-03   4.0159860E+00   1.2723821E+00
   1.6377374E+00   8.7243700E-03   4.0318251E+00   1.2696481E+00
   1.6420825E+00   6.1939862E-03   4.0506940E+00   1.2663589E+00
   1.6465677E+00   9.3996106E-03   4.0718617E+00   1.2642478E+00
   1.6510408E+00   1.0404726E-02   4.0836859E+00   1.2618488E+00
   1.6571394E+00   1.3940626E-02   4.1023288E+00   1.2609949E+00
   1.6626040E+00   8.3792657E-03   4.1233025E+00   1.2585227E+00
   1.6664524E+00   9.7569674E-03   4.1282496E+00   1.2580329E+00
   1.6706846E+00   1.0955068E-02   4.1361055E+00   1.2583797E+00
   1.6759654E+00   1.1716792E-02   4.1494641E+00   1.2597054E+00
   1.6812426E+00   1.1900530E-02   4.1707277E+00   1.2598394E+00
