  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   11:31:13  02/26/2024 iqbp     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   9.2577815E-01  -5.0575104E-02  -8.3024788E+00   3.1213045E+00
   9.2801464E-01   1.6301181E-03  -8.3147011E+00   3.1219699E+00
   9.3234140E-01   1.4500947E-03  -8.2724867E+00   3.1217158E+00
   9.3449199E-01  -2.8708663E-02  -8.2473688E+00   3.1188366E+00
   9.3868315E-01   5.1299699E-02  -8.2055473E+00   3.1156545E+00
   9.4282931E-01   1.4394243E-01  -8.2286339E+00   3.1182158E+00
   9.4488877E-01   3.3785518E-02  -8.2340794E+00   3.1178486E+00
   9.4895321E-01  -9.7678684E-02  -8.1535664E+00   3.1210732E+00
   9.5284837E-01   6.6378430E-02  -8.1351089E+00   3.1211450E+00
   9.5476407E-01   1.0012370E-01  -8.0661697E+00   3.1139841E+00
   9.5862854E-01   1.1209490E-01  -8.0961256E+00   3.1106210E+00
   9.6265358E-01   6.6435702E-02  -8.1339064E+00   3.1068068E+00
   9.6463132E-01   4.9029667E-02  -8.1176968E+00   3.1097016E+00
   9.6852714E-01  -8.2723871E-03  -8.0777473E+00   3.1074228E+00
   9.7235453E-01   2.9398690E-03  -7.9656653E+00   3.1001325E+00
   9.7612399E-01   8.1870437E-02  -7.9167080E+00   3.0978966E+00
   9.7796440E-01   4.9396474E-02  -7.8650599E+00   3.0946677E+00
   9.8150361E-01   8.7150998E-02  -7.8368139E+00   3.0928364E+00
   9.8499244E-01   1.6783241E-02  -7.8948584E+00   3.0937696E+00
   9.8856378E-01   1.2863091E-01  -7.9049287E+00   3.0912340E+00
   9.9206096E-01   1.0599824E-01  -7.8930888E+00   3.0906653E+00
   9.9552035E-01   2.5383852E-02  -7.7849712E+00   3.0880177E+00
   9.9890089E-01   1.5548582E-02  -7.6991200E+00   3.0911508E+00
   1.0021824E+00   5.2807909E-02  -7.6180177E+00   3.0861735E+00
   1.0053611E+00   1.0055561E-01  -7.6584573E+00   3.0793869E+00
   1.0085664E+00   5.9879344E-02  -7.6243038E+00   3.0742722E+00
   1.0119723E+00   9.5933661E-02  -7.4847550E+00   3.0767949E+00
   1.0153570E+00   1.9471465E-02  -7.5412021E+00   3.0696194E+00
   1.0186983E+00   6.5304041E-02  -7.5727453E+00   3.0664573E+00
   1.0220491E+00  -6.5153867E-02  -7.5694914E+00   3.0631254E+00
   1.0252017E+00  -4.9341992E-02  -7.4260454E+00   3.0620875E+00
   1.0282195E+00   4.9211159E-02  -7.4024587E+00   3.0559895E+00
   1.0327859E+00  -1.5389570E-02  -7.3421717E+00   3.0506916E+00
   1.0358272E+00   2.5067115E-04  -7.2286038E+00   3.0529959E+00
   1.0388465E+00  -9.0196654E-03  -7.2326841E+00   3.0536613E+00
   1.0418510E+00   2.3194827E-02  -7.2045093E+00   3.0506887E+00
   1.0463516E+00  -2.6613193E-02  -7.1002712E+00   3.0475647E+00
   1.0493486E+00  -1.3068677E-01  -7.0934234E+00   3.0463295E+00
   1.0523456E+00   1.2662287E-01  -7.1337824E+00   3.0360970E+00
   1.0554256E+00  -5.5538449E-03  -7.0210299E+00   3.0354023E+00
   1.0585200E+00   5.5089355E-03  -7.0047660E+00   3.0322862E+00
   1.0617609E+00   2.9902481E-02  -6.9725146E+00   3.0253077E+00
   1.0649952E+00  -7.4783534E-02  -6.8906283E+00   3.0384457E+00
   1.0697076E+00  -4.1116927E-02  -6.8099418E+00   3.0323336E+00
   1.0728443E+00   1.3195454E-02  -6.7371416E+00   3.0097213E+00
   1.0760661E+00  -4.7645152E-02  -6.6905603E+00   3.0195591E+00
   1.0792170E+00  -3.3278342E-02  -6.7440557E+00   3.0225492E+00
   1.0824786E+00  -7.5923212E-02  -6.7296276E+00   3.0350196E+00
   1.0857570E+00  -3.5304114E-02  -6.6730909E+00   3.0308444E+00
   1.0890319E+00  -5.1326673E-03  -6.6344099E+00   3.0291669E+00
   1.0922953E+00  -2.4396364E-02  -6.5398874E+00   3.0225477E+00
   1.0955521E+00  -6.9464199E-02  -6.5101409E+00   3.0257909E+00
   1.0987889E+00  -3.6005430E-02  -6.4493208E+00   3.0229445E+00
   1.1020021E+00  -1.1887292E-01  -6.3804398E+00   3.0207481E+00
   1.1052383E+00  -1.5546627E-02  -6.3926034E+00   3.0197928E+00
   1.1084888E+00  -3.0175129E-02  -6.3230510E+00   3.0179210E+00
   1.1117094E+00   4.2233318E-03  -6.3370528E+00   3.0168440E+00
   1.1165684E+00   4.2682927E-02  -6.2114315E+00   3.0169506E+00
   1.1197276E+00  -3.4414798E-02  -6.1114860E+00   3.0192220E+00
   1.1225817E+00  -5.4266006E-02  -6.0937886E+00   3.0234923E+00
   1.1253649E+00  -1.0270956E-01  -6.0713453E+00   3.0161994E+00
   1.1283804E+00  -5.9294581E-02  -6.0299134E+00   3.0171144E+00
   1.1321710E+00   1.0692701E-02  -6.0019784E+00   3.0293663E+00
   1.1361593E+00  -1.9379524E-03  -5.9721665E+00   3.0240290E+00
   1.1391616E+00   1.1818138E-02  -5.9471078E+00   3.0302172E+00
   1.1423661E+00   4.1719567E-02  -5.8408480E+00   3.0276098E+00
