  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   15:52:28  02/16/2024 tcgi     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      995      0.000E+00      1.713E+00
   time              pfxob_1         pfyob_1         pfzob_1
   3.9577439E-01   1.3956510E-02   4.1171002E+00   6.2786150E-01
   3.9741912E-01   1.4440043E-02   4.0809159E+00   6.0525495E-01
   3.9923248E-01   1.1184385E-02   4.0485516E+00   6.0353148E-01
   4.0121669E-01   9.8337634E-03   3.9772220E+00   5.9447253E-01
   4.0222320E-01   1.4417562E-02   3.9776542E+00   5.8889294E-01
   4.0423158E-01   1.5677787E-02   3.9416192E+00   6.1005753E-01
   4.0622848E-01   9.0914425E-03   3.9485629E+00   5.9404969E-01
   4.0821594E-01   1.9653326E-02   3.9386489E+00   5.8671182E-01
   4.0920705E-01   1.8725587E-02   3.9280639E+00   5.9119827E-01
   4.1120449E-01   1.1854107E-02   3.8248594E+00   5.8938414E-01
   4.1318408E-01   1.6353246E-02   3.8067243E+00   5.8707875E-01
   4.1416702E-01   1.3945057E-02   3.8018236E+00   5.8678097E-01
   4.1612819E-01   1.2304758E-02   3.7979233E+00   5.7654005E-01
   4.1808620E-01   1.5615974E-02   3.7589402E+00   5.8516318E-01
   4.2005363E-01   1.5758928E-02   3.7277517E+00   5.8261573E-01
   4.2102963E-01   1.3995339E-02   3.7097573E+00   5.8070272E-01
   4.2297155E-01   1.2436398E-02   3.6403484E+00   5.7361990E-01
   4.2491180E-01   1.8391646E-02   3.6247470E+00   5.7737726E-01
   4.2684698E-01  -3.2093108E-03   3.5825582E+00   5.6801438E-01
   4.2876840E-01   3.3712508E-03   3.5351205E+00   5.7843620E-01
   4.2972493E-01   1.7082650E-02   3.5042529E+00   5.8059800E-01
   4.3163928E-01   2.3549888E-02   3.4780879E+00   5.7535791E-01
   4.3355995E-01   1.4643013E-02   3.4584494E+00   5.7129347E-01
   4.3548843E-01   8.2280515E-03   3.4240246E+00   5.8031422E-01
   4.3645635E-01   1.3620660E-02   3.4097955E+00   5.6541598E-01
   4.3840265E-01   1.6302966E-02   3.3427136E+00   5.5702132E-01
   4.4028714E-01   1.2426995E-02   3.2941487E+00   5.6902206E-01
   4.4217828E-01   3.3084512E-02   3.2283423E+00   5.5123842E-01
   4.4417813E-01   2.7877964E-02   3.1662610E+00   5.5877513E-01
   4.4520158E-01  -1.0102335E-02   3.1470451E+00   5.7288349E-01
   4.4717118E-01   4.3761879E-03   3.1179001E+00   5.5018389E-01
   4.4914162E-01   1.2993393E-02   3.0850737E+00   5.5592084E-01
   4.5013022E-01   2.2312371E-02   3.0657065E+00   5.5426729E-01
   4.5216668E-01   4.6958419E-04   2.9964626E+00   5.5245674E-01
   4.5429257E-01   5.3836275E-03   2.9165280E+00   5.5540383E-01
   4.5537025E-01   5.8250520E-03   2.8917153E+00   5.5400592E-01
   4.5756054E-01   3.1179730E-02   2.8166022E+00   5.4479706E-01
   4.5867342E-01   1.1794558E-02   2.7573535E+00   5.4597050E-01
   4.6093729E-01   4.6208687E-03   2.7079413E+00   5.4275560E-01
   4.6263507E-01   1.1871233E-02   2.6075792E+00   5.4148757E-01
   4.6417591E-01   1.7033121E-02   2.6085334E+00   5.3699267E-01
   4.6587470E-01   1.2123629E-02   2.5865071E+00   5.3780276E-01
   4.6774757E-01  -3.2460928E-02   2.4820726E+00   5.2416438E-01
   4.6981245E-01   4.8751081E-03   2.4733415E+00   5.3610384E-01
   4.7092295E-01   8.4005827E-03   2.4517269E+00   5.3688377E-01
   4.7323459E-01   2.2474444E-02   2.3182218E+00   5.4093480E-01
   4.7443748E-01   3.0827856E-02   2.2869587E+00   5.3072053E-01
   4.7657505E-01  -9.3482733E-03   2.1975982E+00   5.2721322E-01
   4.7765878E-01  -5.0591561E-03   2.1433363E+00   5.3485632E-01
   4.7986302E-01   2.8523901E-03   2.1031897E+00   5.1444042E-01
   4.8099148E-01   1.9032300E-02   2.0757656E+00   5.1007259E-01
   4.8330399E-01  -4.4493359E-03   1.9762813E+00   5.0759017E-01
   4.8452643E-01  -2.3167040E-03   1.9359370E+00   5.0764513E-01
   4.8710594E-01   3.0313176E-03   1.8505174E+00   5.1661521E-01
   4.8840070E-01   2.0299981E-04   1.8290211E+00   5.1592523E-01
   4.8969352E-01   6.3744717E-04   1.7742927E+00   5.1004636E-01
   4.9196413E-01  -7.8264745E-03   1.6896168E+00   5.1425922E-01
   4.9299526E-01  -3.5309212E-03   1.6635858E+00   5.0890368E-01
   4.9521482E-01  -1.3381895E-03   1.5550059E+00   5.0515151E-01
   4.9640849E-01  -1.7353112E-03   1.4895701E+00   5.0599587E-01
   4.9891904E-01   5.2120229E-03   1.4410201E+00   5.0435072E-01
   5.0017118E-01   2.1763998E-03   1.3842916E+00   5.0432402E-01
   5.0141746E-01   9.7871176E-04   1.3742573E+00   5.0398189E-01
   5.0388873E-01  -6.4363992E-03   1.2641807E+00   5.0382739E-01
   5.0511694E-01   2.3688925E-03   1.2288548E+00   5.0213629E-01
   5.0760168E-01   6.6754885E-04   1.1312802E+00   4.9997512E-01
   5.0884330E-01  -1.7957340E-04   1.0590190E+00   5.0073183E-01
   5.1007837E-01   7.9712505E-04   1.0269685E+00   5.0048333E-01
