  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   14:30:35  02/22/2024 pnht     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing tfxob, tfyob, tfzob       
       1      999      0.000E+00      3.341E+00
   time              tfxob_1         tfyob_1         tfzob_1
   6.8793923E-01  -1.6316459E-02  -5.8243051E+00   1.8475353E+00
   6.9172055E-01  -5.5275738E-02  -5.9340477E+00   1.8462383E+00
   6.9471180E-01  -1.1169422E-01  -6.1316347E+00   1.8456399E+00
   6.9771135E-01   1.5096161E-02  -6.2803679E+00   1.8447278E+00
   7.0189810E-01  -2.9199114E-02  -6.4635835E+00   1.8440621E+00
   7.0527416E-01  -4.4508994E-02  -6.5613718E+00   1.8428481E+00
   7.0795161E-01  -3.6076361E-03  -6.7763577E+00   1.8418912E+00
   7.1123534E-01  -4.8113879E-02  -6.8884697E+00   1.8411437E+00
   7.1511465E-01  -2.2828706E-02  -7.0486498E+00   1.8399966E+00
   7.1783936E-01  -3.7232038E-02  -7.1658759E+00   1.8383011E+00
   7.2162747E-01   2.6453171E-02  -7.3141923E+00   1.8366213E+00
   7.2520030E-01   7.5955520E-04  -7.4687853E+00   1.8360252E+00
   7.2793293E-01  -5.2358124E-02  -7.4848185E+00   1.8355188E+00
   7.3167253E-01  -1.4141078E-01  -7.5838671E+00   1.8339086E+00
   7.3531115E-01   4.8430681E-02  -7.8367257E+00   1.8321322E+00
   7.3805451E-01   5.2505620E-02  -8.0513077E+00   1.8313982E+00
   7.4166048E-01   9.2050177E-04  -8.0517960E+00   1.8307428E+00
   7.4522489E-01  -2.6405642E-02  -8.1881266E+00   1.8291179E+00
   7.4792159E-01   1.2378898E-02  -8.2791910E+00   1.8282015E+00
   7.5133789E-01  -3.2246917E-02  -8.3296490E+00   1.8267782E+00
   7.5487846E-01  -4.9552474E-02  -8.4792395E+00   1.8258975E+00
   7.5825447E-01  -1.8398831E-02  -8.5350504E+00   1.8246360E+00
   7.6166356E-01  -3.0742247E-02  -8.6681643E+00   1.8235730E+00
   7.6511383E-01  -4.9248412E-03  -8.7625523E+00   1.8221201E+00
   7.6845133E-01  -5.2793674E-02  -8.8235731E+00   1.8214343E+00
   7.7189243E-01  -1.0851299E-01  -8.9167824E+00   1.8205695E+00
   7.7513236E-01   1.3052535E-01  -9.0809755E+00   1.8191839E+00
   7.7864593E-01  -1.1017065E-02  -9.1512918E+00   1.8185449E+00
   7.8191501E-01  -4.9889274E-02  -9.1769247E+00   1.8187633E+00
   7.8512669E-01  -1.9727645E-02  -9.1850481E+00   1.8183534E+00
   7.8841698E-01  -2.2993343E-02  -9.3270416E+00   1.8165945E+00
   7.9161423E-01  -3.6187731E-03  -9.3246584E+00   1.8153113E+00
   7.9480636E-01  -1.9838851E-02  -9.4479542E+00   1.8154793E+00
   7.9808474E-01  -1.5563751E-02  -9.4195118E+00   1.8154094E+00
   8.0197841E-01  -7.5262147E-03  -9.4179602E+00   1.8136280E+00
   8.0526924E-01  -2.9739650E-02  -9.5924997E+00   1.8124194E+00
   8.0853146E-01  -1.5685216E-02  -9.6438932E+00   1.8111373E+00
   8.1162560E-01  -1.4191980E-02  -9.5323219E+00   1.8107419E+00
   8.1488496E-01  -2.2601767E-02  -9.6464167E+00   1.8111020E+00
   8.1807578E-01  -1.0342779E-02  -9.6947927E+00   1.8102242E+00
   8.2188958E-01   8.5875569E-03  -9.6487083E+00   1.8078476E+00
   8.2504010E-01  -4.0428579E-02  -9.7188234E+00   1.8075069E+00
   8.2817912E-01  -8.9655472E-03  -9.7069540E+00   1.8081943E+00
   8.3191675E-01  -1.5845321E-02  -9.6665182E+00   1.8083413E+00
   8.3502924E-01  -1.8573172E-02  -9.6896276E+00   1.8074591E+00
   8.3815390E-01  -9.3369856E-03  -9.7720814E+00   1.8042078E+00
   8.4190732E-01  -4.8167547E-03  -9.7697268E+00   1.8056190E+00
   8.4489620E-01  -1.9031053E-02  -9.6764879E+00   1.8062496E+00
   8.4870708E-01  -1.6135670E-02  -9.7352343E+00   1.8047962E+00
   8.5171169E-01  -4.3663744E-02  -9.6934776E+00   1.8025701E+00
   8.5537863E-01  -1.0991670E-02  -9.5930862E+00   1.8049268E+00
   8.5834718E-01  -1.8978035E-02  -9.6668739E+00   1.8024441E+00
   8.6203772E-01  -1.6358657E-02  -9.7019043E+00   1.7971342E+00
   8.6494535E-01  -9.8674512E-03  -9.6968327E+00   1.7971178E+00
   8.6857069E-01  -2.7891668E-02  -9.4985609E+00   1.7983503E+00
   8.7219608E-01  -7.7036424E-03  -9.5462885E+00   1.7968328E+00
   8.7505072E-01  -4.8161644E-02  -9.5614691E+00   1.7961491E+00
   8.7861228E-01  -1.5083424E-02  -9.4819422E+00   1.7953421E+00
   8.8220167E-01  -3.7510596E-02  -9.4477482E+00   1.7939543E+00
   8.8507110E-01  -1.1483676E-02  -9.4546165E+00   1.7930082E+00
   8.8859606E-01  -1.7535789E-02  -9.4578295E+00   1.7918904E+00
   8.9210778E-01  -6.4763837E-02  -9.3560667E+00   1.7899166E+00
   8.9493430E-01  -7.8486709E-04  -9.2907782E+00   1.7886577E+00
   8.9849830E-01  -3.8001442E-03  -9.2510948E+00   1.7872088E+00
   9.0211624E-01  -3.0286114E-03  -9.2720585E+00   1.7871408E+00
   9.0500909E-01  -1.1466475E-02  -9.2205601E+00   1.7860259E+00
   9.0859181E-01  -1.9563343E-02  -9.1479349E+00   1.7840799E+00
   9.1217941E-01  -9.7345496E-03  -9.1521473E+00   1.7829157E+00
   9.1506195E-01  -2.4496233E-02  -9.0178089E+00   1.7819715E+00
   9.1875577E-01  -1.4672735E-02  -8.9890146E+00   1.7806942E+00
   9.2170268E-01  -9.6864337E-03  -8.9764729E+00   1.7797308E+00
   9.2533642E-01   1.2265451E-02  -8.9111328E+00   1.7785192E+00
   9.2894214E-01  -7.9742774E-02  -8.8031120E+00   1.7768329E+00
   9.3183255E-01  -4.0680327E-02  -8.7906313E+00   1.7756993E+00
   9.3545806E-01   4.9828168E-02  -8.7852955E+00   1.7734256E+00
   9.3839014E-01  -2.5802262E-02  -8.6135511E+00   1.7731302E+00
   9.4214165E-01  -2.0548377E-02  -8.6390734E+00   1.7723769E+00
   9.4512379E-01  -4.9369726E-03  -8.6210432E+00   1.7706927E+00
   9.4872695E-01  -2.0856524E-02  -8.5490999E+00   1.7689973E+00
   9.5235729E-01   8.8720890E-03  -8.4269724E+00   1.7677021E+00
   9.5530981E-01  -8.4858211E-03  -8.4079075E+00   1.7669383E+00
   9.5902801E-01   2.8380353E-02  -8.3615789E+00   1.7665431E+00
   9.6198910E-01  -2.7792111E-02  -8.2997513E+00   1.7662598E+00
   9.6567196E-01   2.1199267E-02  -8.2601080E+00   1.7648758E+00
   9.6860689E-01  -6.8354462E-03  -8.1936617E+00   1.7644436E+00
   9.7238946E-01  -5.1243673E-03  -8.1185408E+00   1.7642289E+00
   9.7542924E-01  -1.0453401E-02  -8.0943670E+00   1.7632501E+00
   9.7913694E-01   4.1425736E-03  -7.9906964E+00   1.7614198E+00
   9.8191315E-01   2.7760989E-03  -7.9203377E+00   1.7604688E+00
   9.8555821E-01  -3.1491569E-03  -7.8990865E+00   1.7599210E+00
   9.8902035E-01   2.5491945E-03  -7.8420229E+00   1.7595599E+00
   9.9181610E-01   1.0475878E-02  -7.7542262E+00   1.7587022E+00
   9.9535149E-01   4.8422639E-04  -7.7439256E+00   1.7575005E+00
   9.9897736E-01  -3.3276363E-03  -7.6242371E+00   1.7568142E+00
   1.0019881E+00   5.9715076E-03  -7.6525283E+00   1.7563089E+00
   1.0057269E+00   4.4312361E-03  -7.5523572E+00   1.7556347E+00
   1.0086439E+00   2.7478090E-03  -7.5003524E+00   1.7555557E+00
   1.0122058E+00   6.6667870E-03  -7.4253964E+00   1.7551663E+00
   1.0152277E+00   9.9025611E-03  -7.4068394E+00   1.7547960E+00
   1.0190002E+00   8.1998883E-03  -7.3527613E+00   1.7545265E+00
   1.0219935E+00   7.6783523E-03  -7.2968001E+00   1.7537920E+00
   1.0257424E+00   1.5435403E-02  -7.2572608E+00   1.7525316E+00
   1.0287615E+00   1.1770404E-02  -7.2127976E+00   1.7518814E+00
   1.0325490E+00   1.5305722E-02  -7.1500564E+00   1.7512945E+00
   1.0355797E+00   7.9916343E-03  -7.1045518E+00   1.7508100E+00
   1.0386106E+00   7.7641038E-03  -7.0610957E+00   1.7501938E+00
   1.0423789E+00   1.9747894E-02  -6.9767227E+00   1.7494088E+00
   1.0453525E+00   2.1435803E-02  -6.9874177E+00   1.7485754E+00
   1.0489683E+00   2.2090342E-02  -6.9565053E+00   1.7474837E+00
   1.0525509E+00   1.3246884E-02  -6.8257976E+00   1.7468907E+00
   1.0555894E+00   1.4332602E-02  -6.7890983E+00   1.7465415E+00
   1.0586283E+00   2.7837293E-02  -6.7752271E+00   1.7462004E+00
   1.0624135E+00   1.2689721E-02  -6.7165303E+00   1.7453762E+00
   1.0654557E+00   1.6673341E-02  -6.6888261E+00   1.7449633E+00
   1.0692861E+00   1.5443263E-02  -6.6588340E+00   1.7448169E+00
   1.0723552E+00   1.8724028E-02  -6.5891261E+00   1.7446222E+00
   1.0754265E+00   2.0535205E-02  -6.5102687E+00   1.7437944E+00
   1.0792730E+00   1.9985791E-02  -6.4918046E+00   1.7431933E+00
   1.0823572E+00   2.1623025E-02  -6.4650779E+00   1.7429433E+00
   1.0854459E+00   3.5830621E-02  -6.4416857E+00   1.7425770E+00
   1.0893047E+00   2.5526447E-02  -6.3827844E+00   1.7417527E+00
   1.0923849E+00   2.5342023E-02  -6.3328218E+00   1.7411860E+00
   1.0954589E+00   2.8486060E-02  -6.2755227E+00   1.7406862E+00
