  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   21:13:44  02/15/2024 jupc     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      924      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.0673089E+00  -9.5921084E-03   7.6116377E-01   3.1497326E+00
   1.0738103E+00  -1.2332989E-02   7.8119141E-01   3.1500750E+00
   1.0798078E+00  -9.4353650E-03   8.5261518E-01   3.1521254E+00
   1.0858858E+00  -9.4273183E-03   8.8194907E-01   3.1525824E+00
   1.0914787E+00  -8.8841794E-03   9.0006840E-01   3.1532409E+00
   1.0971705E+00  -8.6028064E-03   9.2225903E-01   3.1537428E+00
   1.1024455E+00  -8.9551127E-03   1.0386641E+00   3.1571684E+00
   1.1074306E+00  -9.1376966E-03   1.0404389E+00   3.1577094E+00
   1.1123599E+00  -8.5443268E-03   1.0434506E+00   3.1580009E+00
   1.1172988E+00  -8.3147557E-03   1.0500100E+00   3.1582413E+00
   1.1221517E+00  -8.1622358E-03   1.0608518E+00   3.1585848E+00
   1.1268216E+00  -8.6900601E-03   1.0777367E+00   3.1593106E+00
   1.1358012E+00  -8.2752388E-03   1.2781508E+00   3.1663787E+00
   1.1402351E+00  -8.3992798E-03   1.2840489E+00   3.1670620E+00
   1.1445858E+00  -7.1429559E-03   1.2611047E+00   3.1671398E+00
   1.1488005E+00  -7.0645600E-03   1.2436665E+00   3.1669114E+00
   1.1528925E+00  -7.0732152E-03   1.2312922E+00   3.1664560E+00
   1.1569132E+00  -6.6191182E-03   1.2340941E+00   3.1665027E+00
   1.1647621E+00  -6.8662502E-03   1.2926483E+00   3.1671422E+00
   1.1685250E+00  -7.0132054E-03   1.3429718E+00   3.1685631E+00
   1.1721770E+00  -6.7779981E-03   1.3778478E+00   3.1696877E+00
   1.1792608E+00  -5.9876237E-03   1.4528083E+00   3.1724956E+00
   1.1826874E+00  -5.6598326E-03   1.4706683E+00   3.1735153E+00
   1.1894459E+00  -8.1155254E-03   1.4743183E+00   3.1755130E+00
   1.1930529E+00  -5.5147768E-03   1.5054245E+00   3.1761501E+00
   1.1968403E+00  -5.0650858E-03   1.5201949E+00   3.1770198E+00
   1.2049927E+00  -4.3543237E-03   1.5555167E+00   3.1788454E+00
   1.2093771E+00  -4.6157711E-03   1.5860285E+00   3.1803010E+00
   1.2139807E+00  -4.8959204E-03   1.6143064E+00   3.1818857E+00
   1.2188145E+00  -5.1599024E-03   1.6460733E+00   3.1833277E+00
   1.2238899E+00  -4.3895287E-03   1.6787455E+00   3.1846230E+00
   1.2292192E+00  -6.3162940E-03   1.7719948E+00   3.1893780E+00
   1.2348149E+00  -4.2192107E-03   1.7751677E+00   3.1898980E+00
   1.2406904E+00  -3.7560146E-03   1.7767329E+00   3.1897984E+00
   1.2468597E+00  -3.6235410E-03   1.7866353E+00   3.1897118E+00
   1.2533374E+00  -4.1355882E-03   1.8392462E+00   3.1908667E+00
   1.2598805E+00  -3.9213998E-03   1.8872358E+00   3.1936491E+00
   1.2656059E+00  -3.9042579E-03   1.9095117E+00   3.1944838E+00
   1.2716177E+00  -4.1481373E-03   1.9808348E+00   3.1980600E+00
   1.2779299E+00  -3.8221863E-03   2.0027375E+00   3.1992357E+00
   1.2845578E+00  -3.1494200E-03   2.0537760E+00   3.2024143E+00
   1.2915171E+00  -4.1736481E-03   2.0842097E+00   3.2042224E+00
   1.2988243E+00  -4.5014452E-03   2.1319222E+00   3.2069483E+00
   1.3064970E+00  -4.5042792E-03   2.1754506E+00   3.2088423E+00
   1.3142313E+00  -3.9742840E-03   2.2237887E+00   3.2108779E+00
   1.3217685E+00  -3.2396002E-03   2.2735362E+00   3.2132754E+00
   1.3291268E+00  -4.0409649E-03   2.3228290E+00   3.2158844E+00
   1.3363223E+00  -3.7524770E-03   2.3712714E+00   3.2181993E+00
   1.3433689E+00  -3.4669556E-03   2.4172761E+00   3.2203126E+00
   1.3502786E+00  -3.2594018E-03   2.4609542E+00   3.2223854E+00
   1.3570675E+00  -3.0437463E-03   2.5043125E+00   3.2244961E+00
   1.3637499E+00  -2.6373407E-03   2.5465527E+00   3.2263842E+00
   1.3703362E+00  -2.3921891E-03   2.5837953E+00   3.2277312E+00
   1.3768345E+00  -2.1475379E-03   2.6313274E+00   3.2307451E+00
   1.3832506E+00  -1.4162344E-03   2.6639812E+00   3.2315443E+00
   1.3895903E+00  -1.3224412E-03   2.7087166E+00   3.2339356E+00
   1.3958575E+00  -1.1212765E-03   2.7280958E+00   3.2335370E+00
   1.4020562E+00  -6.0333736E-04   2.7913699E+00   3.2356713E+00
   1.4081900E+00  -6.3391926E-04   2.8086362E+00   3.2352684E+00
   1.4142617E+00   3.3463328E-04   2.8592618E+00   3.2377067E+00
   1.4202743E+00   4.1715128E-04   2.8769486E+00   3.2366228E+00
   1.4262302E+00  -3.3350190E-04   2.9290228E+00   3.2387338E+00
   1.4321324E+00  -2.6887003E-04   2.9463906E+00   3.2385831E+00
   1.4379833E+00   2.5438867E-03   2.9950206E+00   3.2407672E+00
   1.4437863E+00   1.2530261E-03   3.0095353E+00   3.2405915E+00
   1.4495434E+00   1.1201670E-03   3.0290666E+00   3.2401257E+00
   1.4552572E+00   1.9369451E-03   3.1009912E+00   3.2438228E+00
   1.4608796E+00   2.6560575E-03   3.1111321E+00   3.2436330E+00
   1.4664180E+00   3.8867050E-03   3.1297615E+00   3.2429445E+00
   1.4718804E+00   4.5480607E-03   3.1656561E+00   3.2439008E+00
   1.4772768E+00   4.5178249E-03   3.1823673E+00   3.2440779E+00
   1.4826112E+00   5.3927978E-03   3.2369070E+00   3.2473657E+00
   1.4878877E+00   5.5938344E-03   3.2496610E+00   3.2459331E+00
   1.4931109E+00   6.5745553E-03   3.2674394E+00   3.2443345E+00
   1.4982857E+00   6.7618866E-03   3.3166113E+00   3.2462683E+00
   1.5034163E+00   5.9944824E-03   3.3278408E+00   3.2454245E+00
   1.5085058E+00   6.1790338E-03   3.3467138E+00   3.2444899E+00
   1.5135555E+00   6.2634707E-03   3.3980229E+00   3.2476313E+00
   1.5185696E+00   6.4405226E-03   3.4085932E+00   3.2466390E+00
   1.5235497E+00   6.7461687E-03   3.4261703E+00   3.2457500E+00
   1.5284972E+00   6.6543985E-03   3.4455786E+00   3.2449267E+00
   1.5334146E+00   6.9977469E-03   3.4702697E+00   3.2447352E+00
   1.5383035E+00   7.7116033E-03   3.4982052E+00   3.2451334E+00
   1.5431646E+00   8.3465008E-03   3.5284841E+00   3.2462521E+00
   1.5479985E+00   7.9032090E-03   3.5582080E+00   3.2472198E+00
   1.5528057E+00   8.3555039E-03   3.5827551E+00   3.2480683E+00
   1.5575870E+00   7.8194700E-03   3.6385338E+00   3.2582512E+00
   1.5623461E+00   8.6132484E-03   3.6440794E+00   3.2574682E+00
   1.5670840E+00   9.8321335E-03   3.6487024E+00   3.2549582E+00
   1.5718030E+00   1.0060761E-02   3.6581590E+00   3.2524073E+00
   1.5765057E+00   1.0556338E-02   3.6706541E+00   3.2501512E+00
   1.5811951E+00   1.0534310E-02   3.6903112E+00   3.2463992E+00
   1.5858735E+00   1.1063672E-02   3.7059989E+00   3.2449110E+00
   1.5905433E+00   1.0001167E-02   3.7798059E+00   3.2482522E+00
   1.5951973E+00   1.0528409E-02   3.7894976E+00   3.2476671E+00
   1.6044729E+00   1.1417273E-02   3.8066740E+00   3.2458715E+00
   1.6091014E+00   1.1612541E-02   3.8203242E+00   3.2448583E+00
   1.6137294E+00   1.1411204E-02   3.8346000E+00   3.2440951E+00
   1.6183594E+00   1.0904971E-02   3.8562009E+00   3.2451890E+00
   1.6229950E+00   9.4369585E-03   3.9009740E+00   3.2644053E+00
   1.6276431E+00   9.5934216E-03   3.9080439E+00   3.2631900E+00
   1.6323056E+00   1.0229766E-02   3.9185910E+00   3.2599497E+00
   1.6369857E+00   1.0556084E-02   3.9298444E+00   3.2576087E+00
   1.6416870E+00   8.8943550E-03   3.9420912E+00   3.2545679E+00
   1.6464128E+00   1.0490891E-02   3.9581561E+00   3.2491744E+00
   1.6511657E+00   6.1191623E-03   3.9762566E+00   3.2397492E+00
   1.6559378E+00   8.7900963E-03   3.9861450E+00   3.2402408E+00
   1.6607282E+00   8.8499393E-03   3.9983437E+00   3.2416432E+00
   1.6655332E+00   9.4155166E-03   4.0129924E+00   3.2414069E+00
   1.6703521E+00   9.4495490E-03   4.0458989E+00   3.2556159E+00
   1.6749411E+00   8.7808548E-03   4.0534692E+00   3.2559962E+00
   1.6797595E+00   9.0597840E-03   4.0657797E+00   3.2555637E+00
   1.6846542E+00   9.0048891E-03   4.0757518E+00   3.2546165E+00
   1.6895778E+00   8.8589583E-03   4.0847883E+00   3.2536345E+00
   1.6945330E+00   7.3514269E-03   4.0926614E+00   3.2525177E+00
   1.6995217E+00   7.8205457E-03   4.0986385E+00   3.2522237E+00
   1.7045449E+00   9.4643850E-03   4.1058860E+00   3.2520759E+00
   1.7096033E+00   8.7754158E-03   4.1145706E+00   3.2519529E+00
   1.7146977E+00   9.5923692E-03   4.1206083E+00   3.2517738E+00
   1.7198291E+00   8.5205100E-03   4.1272612E+00   3.2520034E+00
   1.7245218E+00   1.1087879E-02   4.1324053E+00   3.2535565E+00
   1.7294492E+00   9.3628373E-03   4.1403913E+00   3.2542646E+00
   1.7341093E+00   1.0078069E-02   4.1418500E+00   3.2553713E+00
   1.7385900E+00   1.0431202E-02   4.1415577E+00   3.2570810E+00
   1.7470362E+00   9.2377728E-03   4.1399589E+00   3.2601571E+00
   1.7510474E+00   9.6643493E-03   4.1439190E+00   3.2606754E+00
   1.7549870E+00   9.6089430E-03   4.1465006E+00   3.2611437E+00
   1.7588422E+00   9.3962029E-03   4.1401019E+00   3.2619264E+00
   1.7662911E+00   9.6729901E-03   4.1389809E+00   3.2633376E+00
   1.7699654E+00   8.9085810E-03   4.1345506E+00   3.2626934E+00
   1.7736235E+00   8.8452920E-03   4.1286774E+00   3.2641661E+00
   1.7808828E+00   6.7964825E-03   4.1153398E+00   3.2648106E+00
   1.7844791E+00   7.5974441E-03   4.0928631E+00   3.2654302E+00
   1.7880507E+00   8.0646425E-03   4.0891571E+00   3.2663810E+00
   1.7951220E+00   7.5896974E-03   4.0828676E+00   3.2667828E+00
