  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:47:44  02/22/2024 jupc     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      909      0.000E+00      3.344E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.1170263E+00   8.7946527E-02  -6.2778997E+00   3.6578069E+00
   1.1202551E+00   6.8538211E-02  -6.2608500E+00   3.6564949E+00
   1.1234603E+00   7.4885666E-02  -6.2067699E+00   3.6553903E+00
   1.1266569E+00   7.6600417E-02  -6.1438484E+00   3.6545103E+00
   1.1298565E+00   7.9969905E-02  -6.1050081E+00   3.6538155E+00
   1.1330240E+00   7.5577445E-02  -6.0305929E+00   3.6532507E+00
   1.1361614E+00   7.8340128E-02  -5.9595432E+00   3.6527820E+00
   1.1392803E+00   7.3606022E-02  -5.8933377E+00   3.6523821E+00
   1.1424054E+00   7.2493672E-02  -5.8269053E+00   3.6520197E+00
   1.1455798E+00   7.1751341E-02  -5.7608051E+00   3.6516793E+00
   1.1488832E+00   7.4059360E-02  -5.7234421E+00   3.6514864E+00
   1.1523517E+00   7.3367365E-02  -5.6374698E+00   3.6512482E+00
   1.1558660E+00   7.3353618E-02  -5.5610242E+00   3.6509452E+00
   1.1592842E+00   7.2985671E-02  -5.5101805E+00   3.6507037E+00
   1.1627234E+00   6.8356752E-02  -5.4446907E+00   3.6504595E+00
   1.1659817E+00   7.2623901E-02  -5.3084278E+00   3.6500432E+00
   1.1691072E+00   7.0178598E-02  -5.2540050E+00   3.6497002E+00
   1.1721246E+00   6.8409905E-02  -5.1817951E+00   3.6493649E+00
   1.1750786E+00   7.1639344E-02  -5.0827589E+00   3.6490214E+00
   1.1781803E+00   7.1358345E-02  -4.9973578E+00   3.6488783E+00
   1.1814213E+00   6.3947909E-02  -4.9407258E+00   3.6489050E+00
   1.1846534E+00   6.1949711E-02  -4.8926611E+00   3.6490474E+00
   1.1878821E+00   6.2568754E-02  -4.8301473E+00   3.6492822E+00
   1.1911172E+00   5.8810584E-02  -4.7714181E+00   3.6495175E+00
   1.1943604E+00   5.9302729E-02  -4.6971736E+00   3.6496837E+00
   1.2008843E+00   5.8894761E-02  -4.2096782E+00   3.6496124E+00
