  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   22:11:33  02/15/2024 tgtc     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.932E+00
   time              pfxob_1         pfyob_1         pfzob_1
   8.7266916E-01   6.6725991E-04  -4.8594901E-01   6.8826854E-01
   8.7800807E-01   4.9554446E-04  -4.6098468E-01   6.8836939E-01
   8.8289040E-01   7.1258453E-04  -4.2531052E-01   6.8788683E-01
   8.8744521E-01   1.0583150E-03  -4.0382490E-01   6.8827784E-01
   8.9249879E-01  -4.7549594E-04  -3.5808975E-01   6.8833071E-01
   8.9701581E-01  -3.4009921E-04  -3.3248693E-01   6.8823737E-01
   9.0250629E-01  -5.3293170E-05  -3.1981346E-01   6.8828678E-01
   9.0763962E-01  -2.6891981E-05  -2.7462640E-01   6.8804532E-01
   9.1240942E-01  -3.8215218E-04  -2.3898838E-01   6.8793255E-01
   9.1783035E-01  -3.6809122E-04  -2.2664559E-01   6.8823361E-01
   9.2259419E-01  -4.9140840E-04  -1.9928969E-01   6.8842971E-01
   9.2610997E-01  -2.8985302E-04  -1.7972998E-01   6.8844461E-01
   9.3138629E-01  -6.1338220E-04  -8.1166767E-02   6.8841588E-01
   9.3749428E-01  -2.1580767E-04  -1.1882956E-01   6.8901849E-01
   9.4209224E-01  -8.8364453E-05  -1.1843321E-01   6.8891567E-01
   9.4694972E-01  -1.3448248E-03  -1.0167090E-02   6.8871021E-01
   9.5149487E-01  -1.1588367E-04  -2.0972226E-02   6.8922943E-01
   9.5602483E-01  -1.0294004E-03  -1.5179090E-02   6.8891734E-01
   9.6040106E-01  -5.8302580E-04   5.2833301E-03   6.8938494E-01
   9.6673095E-01  -9.2934119E-04   8.0487378E-02   6.8979901E-01
   9.7222412E-01  -1.3088422E-03   1.0711981E-01   6.9059968E-01
   9.7625983E-01  -1.7513537E-03   1.3224648E-01   6.9091022E-01
   9.8031104E-01  -2.3304294E-03   1.4981741E-01   6.9098461E-01
   9.8695993E-01  -1.7922365E-03   1.9929655E-01   6.9117016E-01
   9.9196506E-01  -1.8393324E-03   2.3542583E-01   6.9154131E-01
   9.9465686E-01  -2.0512717E-03   2.8096583E-01   6.9160604E-01
   1.0004510E+00  -1.6790587E-03   2.8338560E-01   6.9177008E-01
   1.0068389E+00  -1.7291370E-03   2.9268798E-01   6.9188273E-01
   1.0102744E+00  -2.0930253E-03   3.4768757E-01   6.9219494E-01
   1.0173682E+00  -2.1890718E-03   3.6161834E-01   6.9280589E-01
   1.0205427E+00  -2.2377856E-03   3.7413216E-01   6.9289047E-01
   1.0273761E+00  -2.7288015E-03   4.9447626E-01   6.9339627E-01
   1.0309961E+00  -2.3684849E-03   4.9452466E-01   6.9369274E-01
   1.0346347E+00  -2.4520995E-03   4.8783818E-01   6.9385982E-01
   1.0419692E+00  -2.6465049E-03   4.9095738E-01   6.9413382E-01
   1.0456661E+00  -3.3030752E-03   5.4475737E-01   6.9430554E-01
   1.0493827E+00  -3.2480413E-03   5.5272883E-01   6.9465089E-01
   1.0568736E+00  -2.8701713E-03   5.8746564E-01   6.9487154E-01
   1.0606492E+00  -3.2360510E-03   6.8247926E-01   6.9480342E-01
   1.0644470E+00  -2.9106771E-03   6.8391448E-01   6.9504911E-01
   1.0682675E+00  -2.7737375E-03   6.7876285E-01   6.9528157E-01
   1.0758477E+00  -3.1678316E-03   6.8203712E-01   6.9546509E-01
   1.0789464E+00  -3.7976638E-03   6.9521010E-01   6.9555062E-01
   1.0856968E+00  -3.6896004E-03   7.8617853E-01   6.9587731E-01
   1.0907784E+00  -3.3456753E-03   8.1584054E-01   6.9632900E-01
   1.0935112E+00  -3.1155732E-03   8.2282966E-01   6.9647622E-01
   1.0993938E+00  -3.2108466E-03   8.3663768E-01   6.9660944E-01
   1.1058793E+00  -3.4835353E-03   8.6753887E-01   6.9660240E-01
   1.1093674E+00  -3.6211528E-03   8.9103413E-01   6.9666636E-01
   1.1130296E+00  -3.6750166E-03   9.7778487E-01   6.9683498E-01
   1.1209129E+00  -3.2501754E-03   9.6447670E-01   6.9709343E-01
   1.1251281E+00  -3.4281013E-03   9.5987225E-01   6.9703346E-01
   1.1293783E+00  -3.6092184E-03   9.6376085E-01   6.9696182E-01
   1.1336647E+00  -4.3193060E-03   1.0242908E+00   6.9683075E-01
   1.1379895E+00  -4.0786318E-03   1.0342153E+00   6.9725585E-01
   1.1423540E+00  -3.7704096E-03   1.0723746E+00   6.9754243E-01
   1.1467605E+00  -3.7886286E-03   1.0784446E+00   6.9771993E-01
   1.1556600E+00  -4.3294118E-03   1.1223577E+00   6.9789183E-01
   1.1600883E+00  -4.5334320E-03   1.1616044E+00   6.9802368E-01
   1.1644970E+00  -4.4997656E-03   1.1687253E+00   6.9822419E-01
   1.1688883E+00  -4.9387496E-03   1.2043055E+00   6.9811755E-01
   1.1732639E+00  -4.8078280E-03   1.2125510E+00   6.9840056E-01
   1.1776253E+00  -5.0953026E-03   1.2505959E+00   6.9849825E-01
   1.1819739E+00  -4.9640243E-03   1.2580274E+00   6.9872159E-01
   1.1863110E+00  -5.3464845E-03   1.2936499E+00   6.9863850E-01
   1.1949366E+00  -5.5036470E-03   1.3388397E+00   6.9893771E-01
   1.1991701E+00  -5.4186876E-03   1.3466448E+00   6.9917285E-01
   1.2033417E+00  -5.8493544E-03   1.3815998E+00   6.9912857E-01
   1.2066338E+00  -5.7136631E-03   1.3867179E+00   6.9942355E-01
   1.2137198E+00  -5.4510711E-03   1.4512144E+00   6.9941235E-01
   1.2175307E+00  -5.1768632E-03   1.4568276E+00   6.9972128E-01
   1.2214626E+00  -5.2831545E-03   1.4631839E+00   6.9987613E-01
   1.2291902E+00  -5.4935007E-03   1.5013226E+00   7.0001340E-01
   1.2329913E+00  -5.4595368E-03   1.5454358E+00   6.9995022E-01
   1.2367519E+00  -4.9702767E-03   1.5513258E+00   7.0023721E-01
   1.2441612E+00  -5.5350917E-03   1.6014225E+00   6.9974405E-01
   1.2478142E+00  -5.0723287E-03   1.6095456E+00   7.0005333E-01
   1.2514350E+00  -4.8259399E-03   1.6189181E+00   7.0017099E-01
   1.2585847E+00  -4.6997815E-03   1.6685033E+00   7.0016664E-01
   1.2621164E+00  -4.4802967E-03   1.6761664E+00   7.0026612E-01
   1.2656215E+00  -4.8291213E-03   1.7180296E+00   6.9991910E-01
   1.2725574E+00  -4.2175432E-03   1.7349795E+00   7.0015401E-01
   1.2759904E+00  -4.3809279E-03   1.7726777E+00   6.9982684E-01
   1.2827913E+00  -3.8002420E-03   1.7896568E+00   6.9990593E-01
   1.2861613E+00  -3.8856682E-03   1.8025005E+00   6.9972044E-01
   1.2928442E+00  -3.5862520E-03   1.8690562E+00   6.9949347E-01
   1.2961578E+00  -3.0150402E-03   1.8719109E+00   6.9950312E-01
   1.3027341E+00  -3.4588974E-03   1.9020932E+00   6.9861585E-01
   1.3059996E+00  -3.0018715E-03   1.9151139E+00   6.9899988E-01
   1.3124890E+00  -2.6452027E-03   1.9865382E+00   6.9861329E-01
   1.3157122E+00  -2.3280403E-03   1.9904147E+00   6.9867432E-01
   1.3221188E+00  -2.1825829E-03   1.9973500E+00   6.9824433E-01
   1.3253039E+00  -2.1918779E-03   2.0084071E+00   6.9794351E-01
