  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   20:05:49  02/16/2024 liqi     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.0256909E+00   7.5638732E-03  -7.0159125E+00   6.9983047E-01
   1.0285569E+00   9.1013145E-03  -7.0039515E+00   7.0711821E-01
   1.0317880E+00  -3.2608416E-03  -6.9805155E+00   7.0547986E-01
   1.0351746E+00   2.3965321E-02  -6.9269710E+00   7.0614231E-01
   1.0391695E+00   7.2236066E-03  -6.9112811E+00   7.0433128E-01
   1.0420097E+00   1.0751143E-02  -6.8993931E+00   7.0650315E-01
   1.0452975E+00   1.6858431E-02  -6.8415833E+00   7.1275729E-01
   1.0487424E+00   1.1118550E-02  -6.8025970E+00   7.1524531E-01
   1.0519274E+00   1.5665749E-02  -6.7707281E+00   7.1486980E-01
   1.0560578E+00   1.2682688E-02  -6.7445412E+00   7.1590126E-01
   1.0595157E+00   2.8004711E-03  -6.7072363E+00   7.1785098E-01
   1.0618240E+00   8.1989979E-03  -6.6719456E+00   7.1906286E-01
   1.0652843E+00   8.4293038E-03  -6.6328306E+00   7.2052771E-01
   1.0687435E+00   9.5518194E-03  -6.6079640E+00   7.2053516E-01
   1.0720893E+00   1.4120972E-02  -6.5714264E+00   7.2105205E-01
   1.0754428E+00   8.1323320E-03  -6.5529909E+00   7.2061396E-01
   1.0788609E+00   8.5115479E-03  -6.4905181E+00   7.2330624E-01
   1.0823219E+00   1.7747903E-02  -6.4803610E+00   7.2299451E-01
   1.0857848E+00   1.7451024E-02  -6.4210057E+00   7.2334373E-01
   1.0891871E+00   1.2967425E-02  -6.4057922E+00   7.2439897E-01
   1.0925014E+00   6.5673697E-03  -6.3667078E+00   7.2476709E-01
   1.0957197E+00   1.4160757E-02  -6.3224750E+00   7.2484148E-01
   1.0988752E+00   2.0932779E-02  -6.2993355E+00   7.2648984E-01
   1.1020060E+00   2.4438217E-02  -6.2192636E+00   7.2691572E-01
   1.1061796E+00   2.2437600E-02  -6.1946645E+00   7.2677845E-01
   1.1093081E+00   1.8214660E-02  -6.1812916E+00   7.2731286E-01
   1.1124870E+00   3.4876171E-02  -6.1336985E+00   7.2812539E-01
   1.1158965E+00   2.8124500E-02  -6.0708985E+00   7.2713470E-01
   1.1195521E+00   1.3189261E-02  -6.0459523E+00   7.2916675E-01
   1.1220063E+00   1.4810367E-02  -6.0254021E+00   7.2903496E-01
   1.1254460E+00   5.9763243E-04  -5.9618278E+00   7.2870475E-01
   1.1286722E+00   1.2367362E-02  -5.9278927E+00   7.2805858E-01
   1.1325722E+00   6.8393825E-03  -5.8838377E+00   7.2826123E-01
   1.1360395E+00   1.1545384E-02  -5.8497300E+00   7.3078775E-01
   1.1386122E+00   1.2880489E-02  -5.8182392E+00   7.3004121E-01
   1.1424867E+00   3.6634668E-03  -5.7555304E+00   7.3141760E-01
   1.1462650E+00   3.3800411E-03  -5.5660558E+00   7.2992623E-01
   1.1487108E+00   8.1401132E-03  -5.6550465E+00   7.2984159E-01
