  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   20:32:44  03/20/2024 txso     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.0917672E+00   9.9215806E-03  -6.3618112E+00   7.3261338E-01
   1.0956553E+00  -1.5433522E-02  -6.3181753E+00   7.3182404E-01
   1.0995311E+00   8.1072310E-03  -6.2868781E+00   7.3137790E-01
   1.1021088E+00   9.8046055E-03  -6.2518497E+00   7.3084188E-01
   1.1059670E+00   9.2137586E-03  -6.1841531E+00   7.3127377E-01
   1.1085340E+00   2.4310483E-03  -6.1432943E+00   7.3362613E-01
   1.1123773E+00   2.7537446E-02  -6.0919781E+00   7.3289812E-01
   1.1162127E+00  -1.6638022E-02  -6.0340729E+00   7.3456359E-01
   1.1186115E+00   1.7944871E-02  -6.0318842E+00   7.3409224E-01
   1.1221572E+00  -7.3899754E-04  -5.9505148E+00   7.3536634E-01
   1.1257964E+00   1.1617970E-02  -5.8931365E+00   7.3589814E-01
   1.1291200E+00  -9.4392941E-05  -5.8704119E+00   7.3730886E-01
   1.1324483E+00   3.2075744E-03  -5.8126726E+00   7.3966831E-01
   1.1361830E+00   1.0884543E-02  -5.7509789E+00   7.4239749E-01
   1.1386601E+00   5.9986436E-03  -5.7268577E+00   7.4179292E-01
   1.1423024E+00   1.4607500E-02  -5.6846995E+00   7.4140698E-01
   1.1458300E+00   9.7649433E-03  -5.6237593E+00   7.4243611E-01
   1.1496032E+00   9.2145236E-04  -5.5764437E+00   7.4411422E-01
