  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   18:04:42  03/14/2024 ttgt     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       4     1001      1.033E-02      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   8.4537303E-01  -3.4172053E-03  -1.0170146E+01   1.8241291E+00
   8.4826559E-01  -1.5922999E-02  -1.0065785E+01   1.8230420E+00
   8.5196126E-01   1.4819781E-03  -1.0153511E+01   1.8215785E+00
   8.5496861E-01  -4.0462498E-02  -1.0212716E+01   1.8204892E+00
   8.5862577E-01  -4.6960924E-02  -1.0083043E+01   1.8194340E+00
   8.6152172E-01  -4.2988377E-05  -1.0024552E+01   1.8185130E+00
   8.6521870E-01   4.2878319E-02  -1.0026320E+01   1.8167864E+00
   8.6818868E-01   7.1119093E-03  -9.9506540E+00   1.8156379E+00
   8.7184095E-01  -5.9010450E-02  -9.9085855E+00   1.8142420E+00
   8.7542260E-01  -4.1836690E-02  -9.9219389E+00   1.8130999E+00
   8.7835073E-01  -7.8388013E-02  -9.7829990E+00   1.8125783E+00
   8.8202071E-01   5.7221822E-02  -9.7211838E+00   1.8111565E+00
   8.8491446E-01  -2.7643621E-03  -9.6789370E+00   1.8089942E+00
   8.8847178E-01   2.7147171E-03  -9.5897522E+00   1.8077843E+00
   8.9208478E-01  -2.1731500E-02  -9.4955931E+00   1.8072234E+00
   8.9494550E-01   4.5562742E-04  -9.4559832E+00   1.8056639E+00
   8.9859939E-01   5.6479633E-02  -9.4827709E+00   1.8038812E+00
   9.0227777E-01   1.4385316E-03  -9.3152828E+00   1.8028939E+00
   9.0514946E-01  -6.5873801E-03  -9.2645292E+00   1.8019474E+00
   9.0868664E-01   6.7342860E-03  -9.2102556E+00   1.7998561E+00
   9.1225004E-01   1.6053118E-03  -9.1252375E+00   1.7992656E+00
   9.1510367E-01  -1.3344908E-02  -9.0669622E+00   1.7984048E+00
   9.1873199E-01   2.1530881E-03  -8.9909840E+00   1.7968934E+00
   9.2167455E-01  -1.3833956E-02  -9.0012445E+00   1.7958168E+00
   9.2532432E-01   5.1644295E-02  -8.8457022E+00   1.7933547E+00
   9.2885923E-01  -7.6665743E-03  -8.7742414E+00   1.7923368E+00
   9.3168002E-01   6.0874816E-05  -8.7500563E+00   1.7923820E+00
   9.3521011E-01  -1.1742378E-02  -8.6879702E+00   1.7911001E+00
   9.3869734E-01   2.1388796E-03  -8.5499315E+00   1.7893836E+00
   9.4217145E-01   1.6231250E-02  -8.4874630E+00   1.7873296E+00
   9.4571906E-01  -5.8051123E-04  -8.5137405E+00   1.7864679E+00
   9.4858241E-01  -7.3093190E-03  -8.3404856E+00   1.7866447E+00
   9.5217729E-01  -1.4732379E-03  -8.2578163E+00   1.7860181E+00
   9.5511413E-01   5.1884619E-03  -8.2118149E+00   1.7849513E+00
   9.5879561E-01  -5.8938743E-04  -8.1659698E+00   1.7835990E+00
   9.6235263E-01   9.7765173E-05  -8.0364180E+00   1.7822602E+00
   9.6528512E-01   2.3974229E-03  -7.9777193E+00   1.7817658E+00
   9.6895564E-01   9.7034691E-04  -7.9158978E+00   1.7815109E+00
   9.7185719E-01   1.2707474E-02  -7.8949142E+00   1.7811589E+00
   9.7547740E-01  -1.4459984E-02  -7.7437029E+00   1.7804577E+00
   9.7843564E-01   1.4837497E-02  -7.7652822E+00   1.7792783E+00
   9.8209286E-01  -8.8781631E-04  -7.6695013E+00   1.7777324E+00
   9.8577309E-01  -2.8048579E-03  -7.6199927E+00   1.7769883E+00
   9.8872697E-01   2.5315979E-03  -7.5199094E+00   1.7767867E+00
   9.9240953E-01   4.9521802E-03  -7.4700871E+00   1.7761366E+00
   9.9531388E-01   3.5039629E-03  -7.4125462E+00   1.7750570E+00
   9.9898237E-01  -2.9743651E-03  -7.3373761E+00   1.7741534E+00
   1.0019428E+00   3.9390768E-03  -7.2916021E+00   1.7738023E+00
   1.0056552E+00   2.0894719E-02  -7.2007852E+00   1.7733710E+00
   1.0085896E+00   8.3602732E-03  -7.1587868E+00   1.7727444E+00
   1.0121893E+00   6.2339916E-04  -7.0749063E+00   1.7717278E+00
   1.0158831E+00   1.0754948E-03  -7.0338016E+00   1.7711686E+00
