  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:38:25  03/07/2024 ntjb     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   5.8479935E-01  -8.0740437E-02  -3.1324456E+00   1.9145433E+00
   5.8796746E-01  -7.6378711E-02  -3.0549867E+00   1.9144136E+00
   5.9116960E-01  -9.4867438E-02  -3.3583398E+00   1.9136571E+00
   5.9435874E-01  -7.8362614E-02  -3.6057222E+00   1.9122375E+00
   5.9785992E-01  -5.5656508E-02  -3.7616048E+00   1.9127195E+00
   6.0109687E-01  -1.0244441E-02  -3.7324579E+00   1.9121273E+00
   6.0448545E-01  -3.8621150E-02  -4.0802846E+00   1.9099051E+00
   6.0795951E-01  -7.3356591E-02  -4.3616667E+00   1.9089209E+00
   6.1145037E-01  -4.2176656E-02  -4.2845516E+00   1.9089489E+00
   6.1437523E-01   1.0227343E-01  -4.5844822E+00   1.9085021E+00
   6.1805928E-01  -9.2551529E-02  -4.7094178E+00   1.9046453E+00
   6.2110656E-01   2.0823682E-02  -4.9569306E+00   1.9049674E+00
   6.2458223E-01  -1.2435034E-01  -5.1176610E+00   1.9052367E+00
   6.2789470E-01  -5.4333959E-02  -5.5728679E+00   1.9031293E+00
   6.3159257E-01  -8.2124680E-02  -5.5154123E+00   1.9020203E+00
   6.3428521E-01   6.6640475E-03  -5.5937533E+00   1.9020137E+00
   6.3814467E-01  -6.2159855E-02  -5.7651420E+00   1.9013324E+00
   6.4148366E-01  -2.5498530E-02  -5.9507780E+00   1.8998899E+00
   6.4513224E-01  -6.1080080E-02  -6.2729769E+00   1.8988491E+00
   6.4829379E-01  -5.5633751E-03  -6.2988830E+00   1.8983138E+00
   6.5098721E-01  -5.6345616E-02  -6.4936643E+00   1.8977931E+00
   6.5475106E-01  -3.4320198E-02  -6.4842434E+00   1.8962532E+00
   6.5789056E-01  -6.1688688E-02  -6.4733644E+00   1.8923780E+00
