  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   15:28:01  03/14/2024 upci     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.1021885E+00   2.0319112E-03  -6.1953049E+00   7.3232108E-01
   1.1060356E+00   7.1024685E-03  -6.1360745E+00   7.3327583E-01
   1.1089209E+00  -2.3774488E-04  -6.1065431E+00   7.3220372E-01
   1.1127679E+00   2.3243441E-03  -6.0537810E+00   7.3433697E-01
   1.1156533E+00   4.6930150E-03  -6.0333748E+00   7.3439598E-01
   1.1195004E+00  -2.4355359E-03  -5.9772363E+00   7.3482662E-01
   1.1226408E+00  -1.3529639E-03  -5.9093547E+00   7.3335183E-01
   1.1256843E+00   3.7226588E-03  -5.8233080E+00   7.3654813E-01
   1.1293517E+00  -6.3426611E-03  -5.8170962E+00   7.3929983E-01
   1.1322370E+00   7.3928623E-03  -5.8156238E+00   7.4066287E-01
   1.1360841E+00   2.2667412E-04  -5.7718248E+00   7.3969501E-01
   1.1389693E+00   5.5497098E-03  -5.6839652E+00   7.4175918E-01
   1.1428164E+00   6.1451984E-03  -5.6221809E+00   7.4267751E-01
   1.1457018E+00   4.4793491E-03  -5.5874462E+00   7.4428493E-01
   1.1495488E+00   9.8981811E-03  -5.5649176E+00   7.4435842E-01
