  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   11:55:37  02/12/2024 urib     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      997      0.000E+00      3.376E+00
   time              pfxob_1         pfyob_1         pfzob_1
   9.9190217E-01   2.0441309E-02  -8.7476044E+00   2.1808567E+00
   9.9633944E-01   2.5358868E-03  -8.6980648E+00   2.1806772E+00
   9.9924767E-01   1.4347179E-02  -8.6951466E+00   2.1815825E+00
   1.0032578E+00   3.1419948E-02  -8.6384039E+00   2.1839361E+00
   1.0056006E+00   4.2279221E-02  -8.5904980E+00   2.1833594E+00
   1.0097042E+00   4.2328980E-02  -8.5383406E+00   2.1831179E+00
   1.0124756E+00   3.8499273E-02  -8.4994287E+00   2.1842163E+00
   1.0160084E+00   6.9681898E-02  -8.4615402E+00   2.1821358E+00
   1.0195980E+00   5.5487592E-02  -8.4349117E+00   2.1774392E+00
   1.0233701E+00   1.2856240E-04  -8.3824577E+00   2.1825037E+00
   1.0263088E+00   6.8650626E-02  -8.3302231E+00   2.1808627E+00
   1.0293810E+00   7.8826495E-02  -8.2646370E+00   2.1802230E+00
   1.0335658E+00   1.3467041E-01  -8.2585268E+00   2.1809435E+00
   1.0367167E+00   1.3152425E-01  -8.1395111E+00   2.1818466E+00
   1.0394419E+00   1.4016558E-01  -8.0742216E+00   2.1828833E+00
   1.0432848E+00   1.0429476E-01  -8.1806374E+00   2.1800759E+00
   1.0466851E+00   7.3150136E-02  -7.8262029E+00   2.1855145E+00
   1.0499322E+00   1.2979750E-01  -7.9091210E+00   2.1879330E+00
   1.0531650E+00   6.3968197E-02  -8.0893698E+00   2.1931992E+00
   1.0570942E+00   4.2517629E-02  -7.9827108E+00   2.1960180E+00
   1.0605875E+00   1.2953967E-02  -7.7331553E+00   2.2000158E+00
   1.0632173E+00  -1.3259463E-02  -7.6859732E+00   2.2050796E+00
   1.0674795E+00  -3.9121117E-02  -7.6302896E+00   2.1971705E+00
   1.0703189E+00   3.5550606E-02  -7.5290680E+00   2.1960373E+00
   1.0731505E+00   3.0890491E-02  -7.5257735E+00   2.1939266E+00
   1.0773845E+00   2.9355448E-02  -7.4283481E+00   2.1918871E+00
   1.0801991E+00   3.0366370E-02  -7.4023418E+00   2.1879818E+00
   1.0830078E+00   3.4191556E-02  -7.3994775E+00   2.1892769E+00
   1.0872110E+00   4.1755129E-02  -7.3438759E+00   2.1878374E+00
   1.0906879E+00   2.1891171E-02  -7.3015800E+00   2.1898658E+00
   1.0935956E+00   7.0468098E-02  -7.2322369E+00   2.1804724E+00
   1.0975885E+00   6.0375810E-02  -7.1043682E+00   2.1805723E+00
   1.1011385E+00   1.1762968E-02  -7.0262561E+00   2.1915286E+00
   1.1038107E+00   2.7586218E-02  -7.0117235E+00   2.1965992E+00
   1.1079713E+00   4.3943759E-02  -6.9555259E+00   2.1901708E+00
   1.1107415E+00   1.8990556E-02  -6.8804808E+00   2.1965969E+00
   1.1135093E+00   2.2609048E-02  -6.8472462E+00   2.1961381E+00
   1.1176571E+00   7.8643430E-03  -6.7987103E+00   2.1885192E+00
   1.1204207E+00   4.6361882E-02  -6.7228003E+00   2.2083342E+00
   1.1245655E+00   1.9426407E-02  -6.6878705E+00   2.1965642E+00
   1.1271039E+00   2.5589215E-02  -6.6438069E+00   2.1945143E+00
   1.1312327E+00   4.5432944E-02  -6.5168533E+00   2.1942098E+00
   1.1339970E+00   4.0969033E-02  -6.5003901E+00   2.1941628E+00
   1.1380963E+00   2.8773315E-02  -6.4218426E+00   2.1935422E+00
   1.1408626E+00   2.2473183E-02  -6.3305087E+00   2.1943696E+00
   1.1450137E+00   3.3942100E-02  -6.2733679E+00   2.1931553E+00
   1.1477823E+00   2.7490675E-02  -6.1922598E+00   2.1956863E+00
   1.1505519E+00   5.6489792E-02  -6.1282363E+00   2.1951046E+00
   1.1547081E+00   8.8979816E-03  -6.1048470E+00   2.1963241E+00
   1.1574801E+00   6.2357890E-03  -6.0580945E+00   2.1948991E+00
