  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   11:24:45  02/13/2024 txso     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.376E+00
   time              pfxob_1         pfyob_1         pfzob_1
   7.8647536E-01  -4.8493007E-03  -6.6959076E+00  -6.9307363E-01
   7.9013574E-01   9.3604522E-03  -6.7429190E+00  -6.7186129E-01
   7.9335809E-01   2.2766169E-02  -6.7691684E+00  -6.5012336E-01
   7.9662722E-01   1.0568903E-02  -6.8118219E+00  -6.4694852E-01
   7.9986656E-01  -1.8280661E-03  -6.8565183E+00  -6.3999778E-01
   8.0346817E-01  -5.1223580E-02  -6.9413838E+00  -6.3688576E-01
   8.0687672E-01  -5.4084104E-02  -6.9015861E+00  -6.2033820E-01
   8.1016707E-01   3.0259168E-02  -6.9626408E+00  -6.0088223E-01
   8.1337243E-01  -1.4606727E-02  -6.9569507E+00  -5.8521968E-01
   8.1704628E-01  -2.4361671E-03  -6.9956789E+00  -5.7308912E-01
   8.2016599E-01   3.1431288E-02  -7.0413065E+00  -5.6545109E-01
   8.2391566E-01   9.5485728E-03  -7.0709467E+00  -5.5299050E-01
   8.2681477E-01  -5.8839759E-03  -7.0957322E+00  -5.3787071E-01
   8.3007187E-01   2.0858962E-02  -7.0520673E+00  -5.2919042E-01
   8.3378959E-01  -9.4790198E-03  -7.1398435E+00  -5.1908690E-01
   8.3746403E-01  -8.3221896E-03  -7.1376309E+00  -5.0988203E-01
   8.4017861E-01  -2.7915969E-02  -7.1692033E+00  -5.1533151E-01
   8.4374589E-01   3.1218200E-03  -7.1994367E+00  -5.0263911E-01
   8.4725654E-01   3.4960485E-03  -7.2036557E+00  -4.7533292E-01
   8.5071349E-01   1.8604537E-02  -7.2113867E+00  -4.6993288E-01
   8.5411954E-01  -5.8739390E-02  -7.2516842E+00  -4.6454933E-01
   8.5747713E-01   1.9993607E-02  -7.2612462E+00  -4.5848799E-01
   8.6078864E-01  -5.6843879E-03  -7.2513471E+00  -4.5258188E-01
   8.6454475E-01  -2.3624662E-03  -7.2877731E+00  -4.3479258E-01
   8.6727971E-01   1.1903332E-02  -7.3015203E+00  -4.2500892E-01
   8.7144876E-01  -6.2173409E-03  -7.3048716E+00  -4.1732052E-01
   8.7458342E-01  -2.9053697E-03  -7.3201499E+00  -4.0804604E-01
   8.7740386E-01  -3.3077653E-02  -7.3199034E+00  -3.9557230E-01
   8.8084787E-01  -2.0481929E-02  -7.3139639E+00  -3.8751909E-01
   8.8492346E-01   2.4862090E-02  -7.3310580E+00  -3.7899023E-01
   8.8809168E-01  -3.4045994E-02  -7.3384829E+00  -3.6672390E-01
   8.9137185E-01  -1.8115178E-02  -7.3595738E+00  -3.5743541E-01
   8.9454544E-01   6.4818403E-03  -7.3362722E+00  -3.5286894E-01
   8.9780253E-01  -1.0285620E-02  -7.3356910E+00  -3.4925103E-01
   9.0115094E-01   8.4583939E-04  -7.3834448E+00  -3.3053410E-01
   9.0462452E-01  -1.6487619E-02  -7.3231764E+00  -3.3299217E-01
   9.0790790E-01  -2.0293457E-02  -7.3357539E+00  -3.2515460E-01
   9.1115403E-01  -1.4805752E-02  -7.3440819E+00  -3.0686054E-01
   9.1499096E-01  -1.7253563E-02  -7.3232923E+00  -3.0785540E-01
   9.1810429E-01  -2.8617773E-02  -7.3270006E+00  -2.9537874E-01
   9.2202264E-01  -2.8751196E-02  -7.3183823E+00  -2.9543576E-01
   9.2460096E-01  -7.9882974E-03  -7.3261008E+00  -2.9196528E-01
   9.2835325E-01  -1.8626031E-02  -7.2886324E+00  -2.8005981E-01
   9.3201637E-01   4.9821693E-03  -7.3190112E+00  -2.6489246E-01
   9.3490028E-01  -2.6545966E-02  -7.3118534E+00  -2.5520670E-01
   9.3864381E-01  -2.2383362E-02  -7.2384973E+00  -2.4492159E-01
   9.4172221E-01  -3.2595473E-03  -7.3056450E+00  -2.3612937E-01
   9.4508100E-01   2.0303726E-02  -7.2695460E+00  -2.2682318E-01
   9.4864047E-01   1.3738585E-02  -7.2326884E+00  -2.2387037E-01
   9.5207167E-01  -2.2212446E-02  -7.2018199E+00  -2.1298374E-01
   9.5546228E-01   3.7341155E-02  -7.2338052E+00  -1.8834457E-01
   9.5858103E-01   1.1873694E-02  -7.1666665E+00  -1.8790832E-01
   9.6220112E-01  -3.7094377E-02  -7.1653161E+00  -1.8730049E-01
   9.6582913E-01   3.0028129E-02  -7.1306224E+00  -1.7771807E-01
   9.6938789E-01   3.4988840E-04  -7.1321883E+00  -1.7176189E-01
   9.7247547E-01  -8.1797875E-03  -7.1218472E+00  -1.6625758E-01
   9.7547358E-01   3.1555284E-02  -7.0640974E+00  -1.6111732E-01
   9.7853094E-01   1.3894844E-02  -7.0456295E+00  -1.6725236E-01
