  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   13:15:46  02/12/2024 gpju     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       5      505      1.034E-02      1.698E+00
   time              pfxob_1         pfyob_1         pfzob_1
   8.5369706E-01  -1.7216448E-02  -7.2955952E+00  -5.6465745E-01
   8.5747051E-01   2.2041537E-02  -7.2970991E+00  -5.5453920E-01
   8.6117369E-01   1.8037951E-02  -7.3323092E+00  -5.4445744E-01
   8.6390603E-01   9.0606306E-03  -7.3201680E+00  -5.4443544E-01
   8.6749971E-01   7.7084359E-03  -7.3627019E+00  -5.3211486E-01
   8.7103534E-01  -1.3359263E-02  -7.3536420E+00  -5.1819181E-01
   8.7461269E-01   1.4809885E-03  -7.3850460E+00  -5.1818407E-01
   8.7736970E-01   1.1127383E-02  -7.4406667E+00  -5.0521547E-01
   8.8101751E-01   1.8248072E-02  -7.3604155E+00  -4.9043164E-01
   8.8462448E-01  -4.6340178E-04  -7.4214869E+00  -4.8767981E-01
   8.8778204E-01  -2.5391919E-03  -7.3774524E+00  -4.9250472E-01
   8.9164424E-01   2.6504906E-02  -7.3912230E+00  -4.8103616E-01
   8.9487511E-01   2.0149518E-02  -7.3406534E+00  -4.4788674E-01
   8.9827943E-01   1.9094657E-02  -7.4109101E+00  -4.4988036E-01
   9.0133005E-01   1.8022476E-02  -7.4372101E+00  -4.4810751E-01
   9.0471596E-01   1.3015806E-02  -7.4225178E+00  -4.3350723E-01
   9.0839142E-01   2.9651605E-02  -7.3390832E+00  -4.1759866E-01
   9.1156310E-01   4.4225133E-03  -7.3959355E+00  -4.1858146E-01
   9.1522312E-01   8.7822517E-03  -7.3888559E+00  -4.0769076E-01
   9.1871113E-01   2.6789652E-02  -7.3937912E+00  -4.1092876E-01
   9.2146623E-01  -2.2493204E-02  -7.3724027E+00  -3.9324132E-01
   9.2512745E-01   3.9579257E-02  -7.3505969E+00  -3.9013541E-01
   9.2871273E-01   9.7525204E-03  -7.3568606E+00  -3.8021606E-01
   9.3136263E-01   2.4671104E-02  -7.3486505E+00  -3.7245899E-01
   9.3485838E-01   1.5865218E-02  -7.3000078E+00  -3.6194003E-01
   9.3828589E-01   1.1658692E-02  -7.3004675E+00  -3.5036513E-01
   9.4204563E-01   1.4431749E-02  -7.2642517E+00  -3.4409899E-01
   9.4552481E-01   2.1267064E-02  -7.2181745E+00  -3.2202777E-01
   9.4873095E-01   1.0406885E-02  -7.2745104E+00  -3.1399298E-01
   9.5185888E-01   3.0069929E-02  -7.2653985E+00  -3.1170756E-01
   9.5568025E-01   3.4131497E-02  -7.1962013E+00  -2.9429945E-01
   9.5878303E-01   2.9694814E-02  -7.2083087E+00  -2.9041457E-01
   9.6183765E-01   1.8970275E-02  -7.2044821E+00  -2.8833842E-01
   9.6559149E-01  -2.4166144E-04  -7.1472840E+00  -2.7054149E-01
   9.6854538E-01   2.4386188E-02  -7.1122012E+00  -2.6428792E-01
   9.7217941E-01   9.3842205E-03  -7.1062360E+00  -2.5593385E-01
   9.7575164E-01   2.3324005E-02  -7.1156039E+00  -2.4744420E-01
   9.7926509E-01   2.7474761E-02  -7.0342746E+00  -2.3918027E-01
   9.8272270E-01   2.2572929E-02  -7.0305758E+00  -2.3836154E-01
   9.8567528E-01   2.2113556E-02  -7.0237164E+00  -2.3142636E-01
   9.8887151E-01   1.1823244E-02  -7.0197501E+00  -2.2182284E-01
   9.9280500E-01   1.3382075E-02  -6.9951186E+00  -2.1612592E-01
   9.9590141E-01   2.0344852E-02  -6.8904238E+00  -2.1712920E-01
   9.9895447E-01   2.9252563E-02  -6.8716707E+00  -2.1483991E-01
   1.0027125E+00   3.9932490E-03  -6.9331226E+00  -2.0689517E-01
   1.0064087E+00   2.0318601E-02  -6.8749232E+00  -2.0290650E-01
   1.0093231E+00   2.0548953E-02  -6.8405747E+00  -1.9369279E-01
   1.0129155E+00   3.1536143E-02  -6.6898403E+00  -2.0176619E-01
   1.0164541E+00   2.8923593E-02  -6.7053504E+00  -1.9825640E-01
   1.0192431E+00  -2.7946176E-03  -6.7244439E+00  -1.8326548E-01
   1.0226660E+00   2.0638064E-02  -6.6500678E+00  -1.7433251E-01
   1.0264411E+00   1.7830474E-02  -6.6096225E+00  -1.6361837E-01
   1.0294862E+00  -6.1403710E-04  -6.5854392E+00  -1.6343011E-01
   1.0327661E+00   1.4980869E-02  -6.5522861E+00  -1.6005985E-01
   1.0366843E+00   2.5204742E-02  -6.4768353E+00  -1.5840277E-01
   1.0399052E+00   2.2927197E-02  -6.4760814E+00  -1.5240541E-01
   1.0430874E+00  -4.3303357E-03  -6.4549108E+00  -1.4279434E-01
   1.0468551E+00   1.8796079E-02  -6.3464279E+00  -1.4008021E-01
   1.0499568E+00   1.7095275E-02  -6.3224101E+00  -1.4015339E-01
   1.0533160E+00   1.4751541E-02  -6.3010602E+00  -1.3253394E-01
   1.0568831E+00   1.4651571E-02  -6.2546840E+00  -1.3105509E-01
   1.0597147E+00   1.5949767E-02  -6.2348108E+00  -1.2540276E-01
   1.0632193E+00   2.2866543E-02  -6.1611481E+00  -1.2587020E-01
   1.0666866E+00   1.7168308E-02  -6.0847883E+00  -1.1947151E-01
   1.0700468E+00   1.5014613E-02  -6.0614958E+00  -1.2017669E-01
   1.0734453E+00   7.7527901E-03  -6.0143886E+00  -1.1573637E-01
   1.0768111E+00   7.8400802E-03  -5.9723549E+00  -1.1056163E-01
   1.0801450E+00   1.7605742E-02  -5.9029384E+00  -1.0739353E-01
   1.0834481E+00   1.2034359E-02  -5.8707542E+00  -1.0912461E-01
   1.0873721E+00   1.5843036E-02  -5.8068876E+00  -1.0083526E-01
   1.0906100E+00   2.4307320E-02  -5.7692370E+00  -1.0354909E-01
   1.0938196E+00   1.6739365E-02  -5.6939259E+00  -1.0427136E-01
   1.0970016E+00   1.3618783E-02  -5.6070042E+00  -9.6926741E-02
   1.1007842E+00   1.1995181E-02  -5.6096396E+00  -9.4549768E-02
   1.1039065E+00   1.8468579E-02  -5.5664005E+00  -8.6605102E-02
   1.1076089E+00   9.2758546E-03  -5.4792156E+00  -8.8476099E-02
   1.1106569E+00   2.4721792E-03  -5.4129181E+00  -8.9405410E-02
   1.1142713E+00   9.9975755E-04  -5.3360271E+00  -7.6334618E-02
   1.1172485E+00   1.5318622E-02  -5.3159161E+00  -8.0582879E-02
   1.1207809E+00   7.4576433E-03  -5.2799382E+00  -7.5205319E-02
   1.1242710E+00   7.8199320E-03  -5.1801767E+00  -7.3173843E-02
   1.1273236E+00   1.0051286E-02  -5.1482005E+00  -6.6015072E-02
   1.1312692E+00   5.9930910E-03  -5.0897059E+00  -7.1528979E-02
