  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   13:48:07  02/09/2024 bnvl     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      3.378E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.1046993E+00  -1.0683674E-02  -6.7443743E+00   2.9961541E+00
   1.1079584E+00   4.4941783E-02  -6.6852360E+00   2.9857504E+00
   1.1111218E+00   3.3102248E-02  -6.6895819E+00   2.9849961E+00
   1.1144016E+00   2.1060107E-02  -6.6274428E+00   2.9929731E+00
   1.1176062E+00   1.6433081E-02  -6.5494008E+00   2.9896159E+00
   1.1208673E+00   4.3978751E-02  -6.3451500E+00   2.9924822E+00
   1.1246068E+00   7.0388153E-02  -6.4486423E+00   2.9919846E+00
   1.1274219E+00   1.6419204E-01  -6.3412776E+00   2.9709105E+00
   1.1305143E+00   9.0648733E-02  -6.3501458E+00   2.9910934E+00
   1.1336732E+00  -4.6000103E-03  -6.3224339E+00   2.9915178E+00
   1.1381558E+00  -6.1313525E-02  -6.2223444E+00   2.9914682E+00
   1.1411924E+00   2.0886930E-02  -6.1203485E+00   2.9903278E+00
   1.1441931E+00   3.7690781E-02  -6.1665859E+00   2.9861510E+00
   1.1471537E+00   2.6908472E-02  -5.9370294E+00   2.9893889E+00
   1.1515802E+00   4.4067439E-02  -5.9307637E+00   2.9881713E+00
   1.1545235E+00   7.4717313E-02  -5.9131684E+00   2.9910316E+00
