  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   22:15:24  02/09/2024 jjxh     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      500      0.000E+00      1.688E+00
   time              pfxob_1         pfyob_1         pfzob_1
   7.2898775E-01  -3.4259412E-02  -6.9545398E+00   2.5224826E+00
   7.3196501E-01  -1.6987686E-01  -7.0042195E+00   2.5173833E+00
   7.3628277E-01  -9.3879431E-02  -7.1269636E+00   2.5347071E+00
   7.3906922E-01  -1.2529700E-01  -7.2256336E+00   2.5354192E+00
   7.4304175E-01  -1.3817342E-01  -7.2822771E+00   2.5309787E+00
   7.4555361E-01  -1.2517174E-01  -7.3504624E+00   2.5307353E+00
   7.4912494E-01  -1.4250605E-01  -7.6361766E+00   2.5632493E+00
   7.5251669E-01  -8.3998784E-02  -7.5969563E+00   2.5593817E+00
   7.5671870E-01  -7.0732705E-02  -7.7215018E+00   2.5749359E+00
   7.5968760E-01  -9.8754644E-02  -7.8059921E+00   2.5681410E+00
   7.6292825E-01  -4.9352843E-02  -7.8823791E+00   2.5847225E+00
   7.6667970E-01  -8.0857895E-02  -8.0263186E+00   2.5749750E+00
   7.6950365E-01  -5.5944696E-02  -8.0944567E+00   2.5828927E+00
   7.7261710E-01  -5.2883830E-02  -8.0802431E+00   2.5886853E+00
   7.7579296E-01  -4.3875471E-02  -8.2136574E+00   2.5883458E+00
   7.7920753E-01  -7.1860835E-02  -8.3154240E+00   2.5858643E+00
   7.8246850E-01  -2.5178304E-01  -8.4276276E+00   2.5918839E+00
   7.8719980E-01  -1.8951977E-02  -8.3993073E+00   2.5885572E+00
   7.9023194E-01  -1.0788881E-01  -8.5496864E+00   2.5932906E+00
   7.9323369E-01   1.7868813E-02  -8.5818882E+00   2.5812304E+00
   7.9616058E-01  -7.5179920E-02  -8.6150026E+00   2.5817711E+00
   8.0047536E-01  -6.0201149E-02  -8.6899166E+00   2.5750353E+00
   8.0329370E-01  -6.5906204E-02  -8.7312384E+00   2.5752473E+00
   8.0757898E-01  -8.3861262E-02  -8.7830811E+00   2.5818920E+00
   8.1045252E-01  -5.0906539E-02  -8.8749018E+00   2.5746424E+00
   8.1335223E-01  -5.7672612E-02  -8.9295588E+00   2.5817401E+00
   8.1628144E-01   5.6375746E-02  -8.9740162E+00   2.5754054E+00
   8.2062942E-01  -2.0834638E-02  -8.9513292E+00   2.5807505E+00
   8.2355565E-01  -3.8044740E-02  -8.9388123E+00   2.5720282E+00
   8.2657349E-01  -7.4038640E-02  -9.0412636E+00   2.5735390E+00
   8.3117187E-01   2.4503178E-03  -9.1203842E+00   2.5754557E+00
   8.3432543E-01  -1.1262239E-02  -9.1172171E+00   2.5770528E+00
   8.3746314E-01  -6.0542203E-03  -9.1201706E+00   2.5807383E+00
   8.4060830E-01  -3.6852818E-02  -9.1882019E+00   2.5720830E+00
   8.4372371E-01  -6.1241861E-02  -9.1726189E+00   2.5787470E+00
   8.4683937E-01   2.5576508E-02  -9.1664038E+00   2.5789378E+00
   8.5146946E-01  -2.1426607E-02  -9.2925291E+00   2.5825641E+00
   8.5452104E-01   1.4664131E-02  -9.2836342E+00   2.5878677E+00
   8.5754353E-01  -1.2155866E-03  -9.2771902E+00   2.5865722E+00
   8.6053371E-01  -1.2058705E-01  -9.2092590E+00   2.5648179E+00
   8.6497587E-01   5.0966833E-02  -9.3228254E+00   2.5764070E+00
   8.6796457E-01   4.3918516E-02  -9.4262285E+00   2.5849349E+00
   8.7098891E-01   5.1195089E-02  -9.3522587E+00   2.5810881E+00
   8.7401491E-01   5.2255515E-02  -9.4008999E+00   2.5797665E+00
   8.7846196E-01   3.7402593E-02  -9.3764610E+00   2.5831714E+00
   8.8141698E-01   2.7507702E-02  -9.3698530E+00   2.5769389E+00
   8.8429874E-01  -3.2915220E-02  -9.3711500E+00   2.5800998E+00
   8.8849419E-01   6.0723117E-03  -9.4167995E+00   2.5794098E+00
   8.9128762E-01  -1.2044660E-02  -9.4073305E+00   2.5766432E+00
   8.9429909E-01   4.6242610E-02  -9.4561195E+00   2.5794172E+00
   8.9745390E-01   5.6125224E-02  -9.4434347E+00   2.5798497E+00
   9.0062088E-01   1.1875823E-01  -9.4655781E+00   2.5765498E+00
   9.0535069E-01   8.0765784E-02  -9.4088049E+00   2.5785520E+00
   9.0854716E-01   4.9459141E-02  -9.3526421E+00   2.5859716E+00
   9.1175348E-01  -1.0072020E-01  -9.4202375E+00   2.5781176E+00
   9.1495466E-01   3.2714617E-02  -9.3861771E+00   2.5792756E+00
   9.1815060E-01   3.9073218E-02  -9.4561186E+00   2.5798309E+00
   9.2135102E-01   6.1917406E-02  -9.3684673E+00   2.5791440E+00
   9.2451417E-01   6.2447306E-02  -9.3496542E+00   2.5824723E+00
   9.2765868E-01   7.1815073E-02  -9.3113356E+00   2.5793655E+00
   9.3237120E-01   5.9527218E-02  -9.3276663E+00   2.5742879E+00
   9.3547225E-01   1.0940754E-01  -9.2893829E+00   2.5783987E+00
   9.3847013E-01   1.4874564E-02  -9.2980146E+00   2.5805507E+00
   9.4161075E-01   5.1115721E-02  -9.2652283E+00   2.5780184E+00
   9.4471359E-01   7.6382048E-02  -9.2751532E+00   2.5797617E+00
   9.4794989E-01   1.3856008E-03  -9.2340460E+00   2.5869713E+00
   9.5280367E-01   4.9325813E-02  -9.1781359E+00   2.5805998E+00
   9.5601416E-01   8.6941786E-02  -9.1754284E+00   2.5828683E+00
   9.5918894E-01   1.0724474E-01  -9.1800041E+00   2.5839827E+00
   9.6234524E-01   4.9862243E-02  -9.1345024E+00   2.5851276E+00
   9.6546805E-01   8.0048248E-02  -9.0356178E+00   2.5798841E+00
   9.6854103E-01   8.2908072E-02  -9.0602655E+00   2.5779431E+00
   9.7159296E-01   4.0028293E-02  -9.0239449E+00   2.5804675E+00
   9.7619510E-01   9.3959123E-02  -9.0069761E+00   2.5730238E+00
   9.7928917E-01   1.3557006E-01  -8.9685240E+00   2.5755355E+00
   9.8239392E-01   7.3322587E-02  -8.9439640E+00   2.5730159E+00
   9.8548251E-01   6.5567657E-02  -8.8780947E+00   2.5724800E+00
   9.8855150E-01   9.5755547E-02  -8.8214169E+00   2.5753078E+00
   9.9307859E-01   9.0380467E-02  -8.8088188E+00   2.5761006E+00
   9.9604863E-01   1.0600287E-01  -8.7889233E+00   2.5764070E+00
   9.9898446E-01   7.4061252E-02  -8.7635365E+00   2.5772288E+00
   1.0033820E+00   8.6136147E-02  -8.6905537E+00   2.5789685E+00
   1.0063343E+00   1.1585250E-01  -8.6590576E+00   2.5769043E+00
   1.0093085E+00   1.1299708E-01  -8.6246710E+00   2.5748301E+00
   1.0123184E+00   8.9386344E-02  -8.5284138E+00   2.5705652E+00
