  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   21:00:13  02/09/2024 bpnh     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      554      0.000E+00      1.866E+00
   time              pfxob_1         pfyob_1         pfzob_1
   8.3696038E-01  -1.2003106E-01  -1.0886993E+01   3.1049948E+00
   8.4020507E-01  -3.6369927E-02  -1.0872328E+01   3.1212907E+00
   8.4461117E-01   2.9651295E-02  -1.0844390E+01   3.1079073E+00
   8.4732354E-01   1.2392754E-01  -1.0752878E+01   3.1184607E+00
   8.5094631E-01   3.8893912E-02  -1.0760857E+01   3.1272759E+00
   8.5367346E-01  -7.0459530E-02  -1.0765442E+01   3.1208518E+00
   8.5829711E-01   1.4821380E-02  -1.0784661E+01   3.1260426E+00
   8.6173952E-01   2.2135228E-03  -1.0743238E+01   3.1125453E+00
   8.6348820E-01   3.6459386E-02  -1.0699039E+01   3.1182859E+00
   8.6693311E-01   8.4656194E-02  -1.0655910E+01   3.1128132E+00
   8.7025672E-01   7.9821073E-02  -1.0660563E+01   3.1035976E+00
   8.7360626E-01  -4.3308087E-02  -1.0649589E+01   3.1075482E+00
   8.7699282E-01  -1.6009450E-02  -1.0599459E+01   3.1069822E+00
   8.8178337E-01   1.0928061E-02  -1.0502477E+01   3.0997519E+00
   8.8469833E-01  -4.9280807E-02  -1.0515885E+01   3.0902407E+00
   8.8745201E-01   3.7332688E-02  -1.0477988E+01   3.1130481E+00
   8.9137328E-01   5.6951102E-02  -1.0337639E+01   3.1137891E+00
   8.9511901E-01  -1.5759019E-02  -1.0289174E+01   3.1114395E+00
   8.9754534E-01   4.6548173E-02  -1.0240602E+01   3.0951848E+00
   9.0154088E-01   4.2670734E-02  -1.0316055E+01   3.1013680E+00
   9.0451479E-01   2.5872493E-02  -1.0294632E+01   3.0994484E+00
   9.0747154E-01  -1.9455735E-02  -1.0329748E+01   3.0935733E+00
   9.1176015E-01  -3.6209999E-03  -1.0183236E+01   3.0945647E+00
   9.1452974E-01  -2.5068792E-02  -1.0166403E+01   3.0880513E+00
   9.1857177E-01   2.1518318E-03  -1.0026826E+01   3.0714040E+00
   9.2120481E-01   3.8757075E-02  -1.0049151E+01   3.0741422E+00
   9.2508274E-01   8.9570135E-02  -1.0044216E+01   3.0733962E+00
   9.2889643E-01  -1.1378647E-01  -1.0046314E+01   3.0752139E+00
   9.3141389E-01   6.9080673E-02  -9.9729538E+00   3.0624881E+00
   9.3516672E-01  -1.5434793E-02  -9.7914896E+00   3.0561395E+00
   9.3890649E-01  -1.6809284E-04  -9.8141441E+00   3.0543525E+00
   9.4139922E-01  -2.8328726E-02  -9.7582970E+00   3.0546362E+00
   9.4514519E-01   2.3862783E-02  -9.6738968E+00   3.0513856E+00
