  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   23:25:45  02/28/2024 bpnh     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      3.342E+00
   time              pfxob_1         pfyob_1         pfzob_1
   8.6184925E-01   2.9088451E-02  -1.0154264E+01   1.8177160E+00
   8.6548704E-01  -8.4115133E-02  -1.0096587E+01   1.8170382E+00
   8.6844611E-01   2.9194225E-02  -1.0019435E+01   1.8158450E+00
   8.7222713E-01  -4.6221404E-03  -1.0139424E+01   1.8143436E+00
   8.7518525E-01  -6.7076162E-02  -1.0099809E+01   1.8135717E+00
   8.7877589E-01  -4.6192175E-03  -9.9936295E+00   1.8119973E+00
   8.8173091E-01   5.9036613E-02  -9.9583092E+00   1.8099004E+00
   8.8533443E-01  -8.4522218E-03  -9.9822426E+00   1.8088804E+00
   8.8824433E-01  -1.8934716E-02  -9.9020605E+00   1.8083273E+00
   8.9198619E-01  -6.2544703E-02  -9.8927126E+00   1.8063548E+00
   8.9556974E-01  -1.0759256E-01  -9.8161459E+00   1.8037481E+00
   8.9847714E-01  -2.5964115E-02  -9.7835941E+00   1.8036340E+00
   9.0221006E-01   1.3894893E-01  -9.6692915E+00   1.8022782E+00
   9.0512878E-01   1.6465052E-03  -9.6561441E+00   1.8003597E+00
   9.0865362E-01  -1.6584512E-02  -9.6746311E+00   1.7992131E+00
   9.1217709E-01  -8.5358638E-03  -9.5014563E+00   1.7985485E+00
   9.1506189E-01   9.7015016E-03  -9.4190693E+00   1.7969459E+00
   9.1869307E-01   2.4109983E-03  -9.4367332E+00   1.7955980E+00
   9.2203772E-01  -1.0415356E-02  -9.3843632E+00   1.7928203E+00
   9.2560261E-01   8.2520051E-03  -9.2781906E+00   1.7924725E+00
   9.2848492E-01  -2.1878332E-02  -9.2702570E+00   1.7921400E+00
   9.3205130E-01  -3.3697919E-03  -9.2857618E+00   1.7903974E+00
   9.3560708E-01  -1.7059809E-02  -9.1075525E+00   1.7882850E+00
   9.3843895E-01   7.5081564E-03  -9.0753527E+00   1.7868105E+00
   9.4201243E-01  -1.0322053E-03  -9.0367479E+00   1.7855600E+00
   9.4560188E-01  -7.8050126E-03  -9.0076904E+00   1.7850912E+00
   9.4906539E-01  -3.6841021E-03  -8.8999348E+00   1.7843431E+00
   9.5182163E-01  -1.6334157E-02  -8.8419485E+00   1.7832503E+00
   9.5530319E-01  -4.6431199E-03  -8.7768173E+00   1.7818151E+00
   9.5880115E-01   2.8785657E-02  -8.7192965E+00   1.7812867E+00
   9.6228081E-01   8.8355970E-03  -8.6339874E+00   1.7808721E+00
   9.6576667E-01  -7.6037780E-03  -8.6073322E+00   1.7800477E+00
   9.6857417E-01  -1.0610016E-02  -8.5303984E+00   1.7791667E+00
   9.7207016E-01  -5.0687110E-03  -8.4735336E+00   1.7782453E+00
   9.7557360E-01  -1.6688809E-02  -8.3638887E+00   1.7773039E+00
   9.7913009E-01   4.1807778E-02  -8.3763819E+00   1.7765572E+00
   9.8203576E-01   1.6020684E-03  -8.2915325E+00   1.7760378E+00
   9.8576188E-01  -7.6921480E-03  -8.1993933E+00   1.7756165E+00
   9.8882776E-01  -1.9039759E-04  -8.1309605E+00   1.7748291E+00
   9.9196434E-01   1.5086299E-03  -8.0695305E+00   1.7731024E+00
   9.9580270E-01   1.6023091E-03  -8.0368443E+00   1.7728140E+00
   9.9886692E-01   1.0749518E-03  -7.9918590E+00   1.7727568E+00
   1.0019196E+00   7.5964956E-03  -7.8906469E+00   1.7720581E+00
   1.0052888E+00  -1.5203252E-03  -7.8541856E+00   1.7709262E+00
   1.0089587E+00   2.7435136E-03  -7.8054514E+00   1.7700747E+00
   1.0126263E+00   1.6500484E-02  -7.7506261E+00   1.7694622E+00
   1.0153611E+00  -6.2019834E-03  -7.6938672E+00   1.7691182E+00
   1.0190356E+00  -3.0197529E-03  -7.6380873E+00   1.7685385E+00
   1.0217762E+00  -1.0198172E-03  -7.5899148E+00   1.7679554E+00
   1.0254087E+00   8.9784916E-03  -7.5598140E+00   1.7667041E+00
   1.0290377E+00  -2.4703280E-03  -7.4545517E+00   1.7662463E+00
   1.0317919E+00   2.3832864E-03  -7.4158244E+00   1.7660459E+00
   1.0355510E+00   7.5436449E-03  -7.3637772E+00   1.7647648E+00
   1.0393299E+00   1.0102773E-03  -7.2972064E+00   1.7641981E+00
   1.0421919E+00   3.4785429E-03  -7.2964239E+00   1.7640184E+00
   1.0452000E+00  -2.5789002E-03  -7.2056756E+00   1.7636319E+00
   1.0491463E+00   7.9806149E-03  -7.1288228E+00   1.7615157E+00
   1.0519756E+00  -6.0290686E-04  -7.1336293E+00   1.7607954E+00
   1.0557569E+00   3.5281564E-04  -7.0287261E+00   1.7597494E+00
   1.0586234E+00   9.5492671E-04  -6.9813108E+00   1.7597493E+00
   1.0626204E+00   6.2724468E-03  -6.9656157E+00   1.7594268E+00
   1.0655504E+00   5.1393001E-03  -6.9250159E+00   1.7586373E+00
   1.0693314E+00   5.5374466E-03  -6.8574362E+00   1.7571548E+00
   1.0721194E+00   6.9353371E-03  -6.8218355E+00   1.7563791E+00
   1.0757804E+00   9.4231172E-03  -6.7795715E+00   1.7560548E+00
   1.0792116E+00   1.9590460E-02  -6.7300296E+00   1.7555352E+00
   1.0824535E+00   5.0257752E-03  -6.6805830E+00   1.7549706E+00
   1.0852685E+00   1.3296118E-02  -6.6210356E+00   1.7546365E+00
   1.0889527E+00   3.3623993E-02  -6.5455003E+00   1.7533454E+00
   1.0926106E+00   4.5611612E-03  -6.5077786E+00   1.7525399E+00
   1.0953350E+00   1.7862871E-02  -6.4742584E+00   1.7521807E+00
   1.0989430E+00   1.4067752E-02  -6.4271598E+00   1.7515209E+00
   1.1027756E+00   1.4104886E-02  -6.3009744E+00   1.7502517E+00
   1.1057078E+00   1.4777440E-02  -6.2547860E+00   1.7496161E+00
   1.1094127E+00   1.8576628E-02  -6.2011075E+00   1.7487007E+00
   1.1121483E+00   4.9352948E-02  -6.1876173E+00   1.7484027E+00
   1.1158193E+00   2.3008259E-02  -6.1145530E+00   1.7479609E+00
   1.1194817E+00   1.6463524E-02  -6.0212088E+00   1.7473692E+00
   1.1222163E+00   1.6192446E-02  -5.9672961E+00   1.7467436E+00
   1.1258414E+00   2.2176679E-02  -5.9175243E+00   1.7465112E+00
   1.1294304E+00   2.4675908E-02  -5.8911800E+00   1.7464280E+00
   1.1322857E+00   1.9710718E-02  -5.7660680E+00   1.7463471E+00
   1.1361077E+00   2.6458796E-02  -5.6977777E+00   1.7462790E+00
   1.1389945E+00   2.6432185E-02  -5.6553259E+00   1.7462840E+00
   1.1428084E+00   2.8571496E-02  -5.5529733E+00   1.7462060E+00
   1.1456943E+00   2.5267044E-02  -5.4631910E+00   1.7460601E+00
