  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   05:11:31  02/29/2024 jcer     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   6.8101037E-01  -6.2343138E-03  -3.3856244E+00   4.0443853E-01
   6.8488264E-01  -3.0761765E-02  -3.5453389E+00   4.1066444E-01
   6.8773985E-01  -3.9863467E-02  -3.6203661E+00   4.1226605E-01
   6.9147640E-01  -1.7717751E-02  -3.6988494E+00   4.1504788E-01
   6.9514030E-01  -2.7167697E-02  -3.8635163E+00   4.1887105E-01
   6.9784880E-01  -2.6401406E-02  -3.9621518E+00   4.2450020E-01
   7.0143265E-01  -2.7135987E-02  -4.1311030E+00   4.2725393E-01
   7.0500970E-01  -1.8256417E-02  -4.1801581E+00   4.2818063E-01
   7.0858753E-01  -5.6615379E-03  -4.2439098E+00   4.3188545E-01
   7.1127051E-01  -3.9214862E-04  -4.3939114E+00   4.3045902E-01
   7.1484268E-01  -1.1180043E-02  -4.4989972E+00   4.3816465E-01
   7.1842003E-01  -6.0447170E-03  -4.5813751E+00   4.3269190E-01
   7.2197986E-01  -1.8837985E-02  -4.6755171E+00   4.4762325E-01
   7.2460955E-01  -1.2621608E-02  -4.7189765E+00   4.3778938E-01
   7.2812152E-01  -1.5041152E-02  -4.8098598E+00   4.3922886E-01
   7.3170960E-01  -2.7949026E-02  -4.9274077E+00   4.5337242E-01
   7.3518485E-01  -6.0158889E-03  -5.0151548E+00   4.4697446E-01
   7.3865056E-01  -1.7794125E-02  -5.0895419E+00   4.5132500E-01
   7.4121112E-01  -2.4387773E-02  -5.1513739E+00   4.5400321E-01
   7.4477494E-01   1.8307718E-02  -5.2412357E+00   4.5763952E-01
   7.4858415E-01   5.6718253E-03  -5.3288331E+00   4.6984595E-01
   7.5161690E-01  -7.6298406E-03  -5.4302659E+00   4.7161302E-01
   7.5485605E-01   5.9057889E-03  -5.4903483E+00   4.7335100E-01
   7.5825191E-01   1.0460289E-02  -5.5495543E+00   4.8190847E-01
   7.6193058E-01   1.7020453E-02  -5.6435275E+00   4.8978412E-01
   7.6483744E-01   4.9156672E-05  -5.6840630E+00   4.9099940E-01
   7.6851666E-01   7.6975928E-05  -5.7499471E+00   5.0235963E-01
   7.7134776E-01  -1.0099252E-02  -5.8334603E+00   5.0980026E-01
   7.7533638E-01   2.8308483E-03  -5.8997903E+00   5.1547164E-01
   7.7868599E-01   3.7479885E-02  -5.9713349E+00   5.1990229E-01
   7.8127325E-01  -7.3368172E-03  -6.0305729E+00   5.2874267E-01
   7.8499234E-01   9.9863531E-03  -6.0869923E+00   5.3140569E-01
   7.8859735E-01   1.4388389E-02  -6.1474099E+00   5.4008847E-01
   7.9139704E-01  -2.8992528E-03  -6.1907482E+00   5.4002541E-01
   7.9529274E-01  -1.2652868E-02  -6.2950597E+00   5.5090648E-01
   7.9863125E-01   2.5826417E-02  -6.3150949E+00   5.5142486E-01
   8.0178940E-01   9.3577635E-03  -6.3114285E+00   5.5531627E-01
   8.0481696E-01   1.2348957E-02  -6.4475951E+00   5.6328553E-01
   8.0860519E-01   1.0787007E-02  -6.4756031E+00   5.6144971E-01
   8.1166273E-01   3.2472070E-02  -6.5437331E+00   5.7680529E-01
   8.1487471E-01   1.7233869E-02  -6.5957060E+00   5.7925367E-01
   8.1836331E-01   1.3370032E-02  -6.5891981E+00   5.7540578E-01
   8.2142830E-01   5.0719357E-03  -6.7292771E+00   5.8893651E-01
   8.2471740E-01   2.9188641E-03  -6.7786264E+00   5.8705211E-01
   8.2858533E-01   6.5793060E-03  -6.8117371E+00   5.9519899E-01
   8.3208817E-01   1.8683804E-02  -6.8525357E+00   5.9838742E-01
   8.3482969E-01   9.5763868E-03  -6.8614926E+00   6.0193753E-01
   8.3851331E-01   1.7170917E-02  -6.9458127E+00   6.0811168E-01
   8.4202790E-01   9.5401093E-04  -6.9815001E+00   6.0937279E-01
   8.4557885E-01   1.9183084E-02  -6.9843936E+00   6.1129189E-01
   8.4824365E-01   1.1126322E-02  -7.0350642E+00   6.1768967E-01
   8.5177547E-01  -9.6583990E-03  -7.1100955E+00   6.1917794E-01
   8.5527354E-01  -3.6356522E-04  -7.1192565E+00   6.2092662E-01
   8.5875684E-01   1.6741076E-02  -7.1710792E+00   6.2003326E-01
   8.6227566E-01   1.8245688E-02  -7.2139101E+00   6.2405699E-01
   8.6496425E-01   4.6796585E-03  -7.2163796E+00   6.2446582E-01
   8.6864281E-01   1.0024443E-02  -7.2839203E+00   6.2618357E-01
   8.7148809E-01  -1.5309311E-02  -7.3194847E+00   6.3162202E-01
   8.7543678E-01  -7.5847898E-03  -7.3480158E+00   6.2753427E-01
   8.7823981E-01   9.6784653E-03  -7.3511968E+00   6.3309318E-01
   8.8192159E-01   3.1149061E-02  -7.3841991E+00   6.3308686E-01
   8.8572979E-01   1.5017218E-02  -7.4697423E+00   6.3829529E-01
   8.8868803E-01   1.2377976E-02  -7.4476810E+00   6.3709265E-01
   8.9166629E-01   2.7256867E-02  -7.4753933E+00   6.4107561E-01
   8.9563680E-01   4.6564010E-03  -7.4982834E+00   6.3990873E-01
   8.9859903E-01   1.9579101E-02  -7.5103979E+00   6.4352995E-01
   9.0170991E-01   5.7987547E-03  -7.5313215E+00   6.4777243E-01
   9.0480518E-01  -6.8366076E-03  -7.5403314E+00   6.4804637E-01
   9.0909326E-01   1.1300669E-02  -7.5700393E+00   6.4875501E-01
   9.1236556E-01   1.6264977E-02  -7.6206775E+00   6.5129691E-01
   9.1571295E-01   2.4937350E-02  -7.6257596E+00   6.5426874E-01
   9.1899961E-01   3.5862674E-03  -7.6403966E+00   6.5617502E-01
   9.2200559E-01   3.4917446E-03  -7.6411319E+00   6.5358400E-01
   9.2494947E-01   1.1128415E-02  -7.6610675E+00   6.5832388E-01
