  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   02:11:33  02/29/2024 cero     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.0185306E+00   2.7759729E-03  -7.6685839E+00   1.1785792E+00
   1.0218859E+00   2.9623467E-03  -7.6103425E+00   1.1811059E+00
   1.0252064E+00  -8.7509037E-04  -7.5726328E+00   1.1822531E+00
   1.0285569E+00   3.4528658E-02  -7.5377698E+00   1.1795583E+00
   1.0318689E+00   1.0830132E-02  -7.4625969E+00   1.1776317E+00
   1.0359819E+00   1.9670753E-02  -7.4143758E+00   1.1742358E+00
   1.0392908E+00   3.7779775E-03  -7.4021926E+00   1.1761247E+00
   1.0425779E+00   1.5961234E-02  -7.3713264E+00   1.1762491E+00
   1.0458381E+00   3.4679702E-04  -7.2188768E+00   1.1726570E+00
   1.0488340E+00   1.4433904E-02  -7.1979809E+00   1.1729804E+00
   1.0524837E+00  -7.6478175E-03  -7.1239452E+00   1.1707375E+00
   1.0553842E+00   1.0649012E-02  -7.1625257E+00   1.1733319E+00
   1.0589664E+00   4.6766512E-02  -7.1063037E+00   1.1775972E+00
   1.0625052E+00   2.0552233E-02  -6.9501262E+00   1.1783866E+00
   1.0653163E+00   2.1169631E-02  -6.9156628E+00   1.1828842E+00
   1.0688152E+00   6.4981808E-03  -6.9614267E+00   1.1804827E+00
   1.0722865E+00   3.7887014E-02  -6.8827133E+00   1.1826689E+00
   1.0757731E+00   2.5540801E-02  -6.8107233E+00   1.1838700E+00
   1.0792300E+00   2.0958424E-02  -6.7416649E+00   1.1837796E+00
   1.0826440E+00   2.7861962E-02  -6.6489944E+00   1.1822059E+00
   1.0860260E+00   1.4922141E-02  -6.6064630E+00   1.1816916E+00
   1.0887283E+00   3.3334654E-02  -6.5755730E+00   1.1838281E+00
   1.0920590E+00   2.4317736E-02  -6.5268688E+00   1.1816972E+00
   1.0960218E+00   2.9849729E-02  -6.4840789E+00   1.1854624E+00
   1.0993862E+00   1.4247876E-02  -6.3912845E+00   1.1858941E+00
   1.1021160E+00   3.0200807E-02  -6.3620000E+00   1.1880987E+00
   1.1054883E+00   3.7604660E-02  -6.2983947E+00   1.1896992E+00
   1.1088215E+00   1.7755030E-02  -6.1620774E+00   1.1897231E+00
   1.1121212E+00   5.0420932E-02  -6.2072139E+00   1.1930097E+00
   1.1160445E+00   3.4200564E-02  -6.1633930E+00   1.1931354E+00
   1.1193017E+00   2.0607671E-02  -6.1293902E+00   1.1948677E+00
   1.1225690E+00   3.4872092E-02  -6.0147901E+00   1.1942002E+00
   1.1258761E+00   4.7114108E-02  -5.9550028E+00   1.1948498E+00
   1.1295017E+00   3.2693040E-02  -5.9151130E+00   1.1952209E+00
   1.1325701E+00   3.2981098E-02  -5.9176941E+00   1.1925517E+00
   1.1357771E+00   2.3193125E-02  -5.8026347E+00   1.1932906E+00
   1.1393602E+00  -1.0622283E-02  -5.7924252E+00   1.1918190E+00
   1.1428686E+00   4.9499195E-02  -5.6716404E+00   1.1996137E+00
